,College Label,Student Count
Winter 2018.1,Pasadena,0.1729
Spring 2018.1,Pasadena,0.16060000000000002
Summer 2018.1,Pasadena,0.1546
Fall 2018.1,Pasadena,0.1479
Winter 2019.1,Pasadena,0.1671
Spring 2019.1,Pasadena,0.153
Summer 2019.1,Pasadena,0.1396
Fall 2019.1,Pasadena,0.1409
Winter 2020.1,Pasadena,0.1629
Spring 2020.1,Pasadena,0.1398
Summer 2020.1,Pasadena,0.12390000000000001
Fall 2020.1,Pasadena,0.1208
Winter 2021.1,Pasadena,0.1356
Spring 2021.1,Pasadena,0.1175
Summer 2021.1,Pasadena,0.1021
Fall 2021.1,Pasadena,0.11239999999999999
Spring 2022.1,Pasadena,0.12209999999999999
Summer 2022.1,Pasadena,0.11939999999999999
Fall 2022.1,Pasadena,0.1052
Winter 2018.1,LA Trade,0.06659999999999999
Spring 2018.1,LA Trade,0.0706
Summer 2018.1,LA Trade,0.058300000000000005
Fall 2018.1,LA Trade,0.06620000000000001
Winter 2019.1,LA Trade,0.0737
Spring 2019.1,LA Trade,0.06549999999999999
Summer 2019.1,LA Trade,0.0588
Fall 2019.1,LA Trade,0.061799999999999994
Winter 2020.1,LA Trade,0.06620000000000001
Spring 2020.1,LA Trade,0.0597
Summer 2020.1,LA Trade,0.06570000000000001
Fall 2020.1,LA Trade,0.0619
Winter 2021.1,LA Trade,0.0702
Spring 2021.1,LA Trade,0.0652
Summer 2021.1,LA Trade,0.061700000000000005
Fall 2021.1,LA Trade,0.058300000000000005
Winter 2022.1,LA Trade,0.056700000000000014
Spring 2022.1,LA Trade,0.0571
Summer 2022.1,LA Trade,0.04769999999999999
Fall 2022.1,LA Trade,0.0509
Winter 2018.1,LA City,0.18570000000000003
Spring 2018.1,LA City,0.18020000000000003
Summer 2018.1,LA City,0.1491
Fall 2018.1,LA City,0.16069999999999998
Winter 2019.1,LA City,0.1532
Spring 2019.1,LA City,0.1622
Summer 2019.1,LA City,0.1395
Fall 2019.1,LA City,0.151
Winter 2020.1,LA City,0.14859999999999998
Spring 2020.1,LA City,0.1504
Summer 2020.1,LA City,0.12140000000000001
Fall 2020.1,LA City,0.1392
Winter 2021.1,LA City,0.1315
Spring 2021.1,LA City,0.13999999999999999
Summer 2021.1,LA City,0.1083
Fall 2021.1,LA City,0.12819999999999998
Winter 2022.1,LA City,0.12279999999999999
Spring 2022.1,LA City,0.1335
Summer 2022.1,LA City,0.1013
Fall 2022.1,LA City,0.12079999999999999
Winter 2018.1,Citrus,0.0934
Spring 2018.1,Citrus,0.09140000000000001
Summer 2018.1,Citrus,0.0679
Fall 2018.1,Citrus,0.086
Winter 2019.1,Citrus,0.087
Spring 2019.1,Citrus,0.08929999999999999
Summer 2019.1,Citrus,0.0699
Fall 2019.1,Citrus,0.0811
Winter 2020.1,Citrus,0.08560000000000001
Spring 2020.1,Citrus,0.0798
Summer 2020.1,Citrus,0.0645
Fall 2020.1,Citrus,0.0643
Winter 2021.1,Citrus,0.0766
Spring 2021.1,Citrus,0.06559999999999999
Summer 2021.1,Citrus,0.0486
Fall 2021.1,Citrus,0.061500000000000006
Winter 2022.1,Citrus,0.06989999999999999
Spring 2022.1,Citrus,0.06659999999999999
Summer 2022.1,Citrus,0.055799999999999995
Fall 2022.1,Citrus,0.05740000000000001
Winter 2018.1,Mt San Antonio,0.0757
Spring 2018.1,Mt San Antonio,0.07880000000000001
Summer 2018.1,Mt San Antonio,0.0427
Fall 2018.1,Mt San Antonio,0.0735
Winter 2019.1,Mt San Antonio,0.0712
Spring 2019.1,Mt San Antonio,0.0762
Summer 2019.1,Mt San Antonio,0.0411
Fall 2019.1,Mt San Antonio,0.0721
Winter 2020.1,Mt San Antonio,0.0716
Spring 2020.1,Mt San Antonio,0.07880000000000001
Summer 2020.1,Mt San Antonio,0.0467
Fall 2020.1,Mt San Antonio,0.0733
Winter 2021.1,Mt San Antonio,0.0785
Spring 2021.1,Mt San Antonio,0.07629999999999999
Summer 2021.1,Mt San Antonio,0.041999999999999996
Fall 2021.1,Mt San Antonio,0.0675
Winter 2022.1,Mt San Antonio,0.0713
Spring 2022.1,Mt San Antonio,0.0703
Summer 2022.1,Mt San Antonio,0.038400000000000004
Fall 2022.1,Mt San Antonio,0.06029999999999999
Winter 2018.1,LA Valley,0.1917
Spring 2018.1,LA Valley,0.1713
Summer 2018.1,LA Valley,0.1677
Fall 2018.1,LA Valley,0.16079999999999997
Winter 2019.1,LA Valley,0.1891
Spring 2019.1,LA Valley,0.1655
Summer 2019.1,LA Valley,0.1691
Fall 2019.1,LA Valley,0.1559
Winter 2020.1,LA Valley,0.18619999999999998
Spring 2020.1,LA Valley,0.1591
Summer 2020.1,LA Valley,0.1376
Fall 2020.1,LA Valley,0.1412
Winter 2021.1,LA Valley,0.1346
Spring 2021.1,LA Valley,0.14270000000000002
Summer 2021.1,LA Valley,0.1221
Fall 2021.1,LA Valley,0.1243
Winter 2022.1,LA Valley,0.1349
Spring 2022.1,LA Valley,0.12789999999999999
Summer 2022.1,LA Valley,0.1119
Fall 2022.1,LA Valley,0.1171
Spring 2018.1,Cerritos,0.06570000000000001
Summer 2018.1,Cerritos,0.059000000000000004
Fall 2018.1,Cerritos,0.0611
Spring 2019.1,Cerritos,0.0639
Summer 2019.1,Cerritos,0.060399999999999995
Fall 2019.1,Cerritos,0.0632
Spring 2020.1,Cerritos,0.0662
Summer 2020.1,Cerritos,0.0625
Fall 2020.1,Cerritos,0.0573
Spring 2021.1,Cerritos,0.05870000000000001
Summer 2021.1,Cerritos,0.05440000000000001
Fall 2021.1,Cerritos,0.0532
Spring 2022.1,Cerritos,0.057999999999999996
Summer 2022.1,Cerritos,0.0546
Fall 2022.1,Cerritos,0.05280000000000001
Winter 2018.1,West LA,0.0887
Spring 2018.1,West LA,0.0944
Summer 2018.1,West LA,0.07569999999999999
Fall 2018.1,West LA,0.08499999999999999
Winter 2019.1,West LA,0.0859
Spring 2019.1,West LA,0.0854
Summer 2019.1,West LA,0.07319999999999999
Fall 2019.1,West LA,0.08349999999999999
Winter 2020.1,West LA,0.07970000000000001
Spring 2020.1,West LA,0.08900000000000001
Summer 2020.1,West LA,0.0786
Fall 2020.1,West LA,0.08499999999999999
Winter 2021.1,West LA,0.0844
Spring 2021.1,West LA,0.08789999999999999
Summer 2021.1,West LA,0.0692
Fall 2021.1,West LA,0.08510000000000001
Winter 2022.1,West LA,0.067
Spring 2022.1,West LA,0.0799
Summer 2022.1,West LA,0.0655
Fall 2022.1,West LA,0.07010000000000001
Winter 2018.1,LA Mission,0.0986
Spring 2018.1,LA Mission,0.109
Summer 2018.1,LA Mission,0.07729999999999998
Fall 2018.1,LA Mission,0.08750000000000001
Winter 2019.1,LA Mission,0.07819999999999999
Spring 2019.1,LA Mission,0.0809
Summer 2019.1,LA Mission,0.0626
Fall 2019.1,LA Mission,0.06989999999999999
Winter 2020.1,LA Mission,0.07160000000000001
Spring 2020.1,LA Mission,0.07269999999999999
Summer 2020.1,LA Mission,0.064
Fall 2020.1,LA Mission,0.0737
