,U.S. citizen,Permanent Resident,Temporary Resident,Refugee / Asylee,Student Visa (F-1 or M-1 visa),Other Status,Status Unknown / Uncollected,College Label
Spring 2013.1,0.9133,0.0436,0.0015,0.0006,0.0013,0.0384,0.0013,Rio Hondo
Summer 2013.1,0.9218000000000001,0.038599999999999995,0.0016,0.0005,0.001,0.0354,0.0012,Rio Hondo
Fall 2013.1,0.9161,0.0368,0.0015,0.0006,0.001,0.0378,0.0060999999999999995,Rio Hondo
Spring 2014.1,0.9193000000000001,0.0363,0.0019,0.0005,0.0011,0.0371,0.0037,Rio Hondo
Summer 2014.1,0.9242,0.034300000000000004,0.0017000000000000001,0.0004,0.0017000000000000001,0.034,0.0038,Rio Hondo
Fall 2014.1,0.9166,0.0339,0.0021,0.0004,0.0012,0.0408,0.005,Rio Hondo
Spring 2015.1,0.9245,0.0313,0.0027,0.0007000000000000001,0.0015,0.0369,0.0024,Rio Hondo
Summer 2015.1,0.9292,0.031400000000000004,0.0022,0.0008,0.0015,0.0321,0.0029,Rio Hondo
Fall 2015.1,0.9211,0.0304,0.0023,0.0009,0.0023,0.041100000000000005,0.0019,Rio Hondo
Spring 2016.1,0.9236,0.0302,0.0022,0.0007000000000000001,0.0022,0.0371,0.0040999999999999995,Rio Hondo
Summer 2016.1,0.9273,0.0311,0.0025,0.0007000000000000001,0.0029,0.0337,0.0017000000000000001,Rio Hondo
Fall 2016.1,0.9207,0.0294,0.0027,0.0006,0.0029,0.0381,0.005600000000000001,Rio Hondo
Spring 2017.1,0.9259999999999999,0.029300000000000003,0.0025,0.0005,0.0034000000000000002,0.0368,0.0016,Rio Hondo
Summer 2017.1,0.9262,0.0297,0.0026,0.0011,0.0029,0.0354,0.0021,Rio Hondo
Fall 2017.1,0.9229,0.0296,0.0036,0.0009,0.0037,0.038,0.0014000000000000002,Rio Hondo
Spring 2018.1,0.9204000000000001,0.030299999999999997,0.0038,0.0012,0.0042,0.0384,0.0018,Rio Hondo
Summer 2018.1,0.9292,0.0304,0.0033,0.0017000000000000001,0.0029,0.0311,0.0015,Rio Hondo
Fall 2018.1,0.9204000000000001,0.03,0.0036,0.0009,0.0038,0.0379,0.0034999999999999996,Rio Hondo
Spring 2019.1,0.914,0.0292,0.0038,0.001,0.0042,0.0418,0.006,Rio Hondo
Summer 2019.1,0.9235,0.0276,0.004,0.0007000000000000001,0.003,0.0375,0.0036,Rio Hondo
Fall 2019.1,0.9142,0.030600000000000002,0.0038,0.0013,0.0034999999999999996,0.0424,0.0040999999999999995,Rio Hondo
Spring 2020.1,0.9175,0.031400000000000004,0.0033,0.0013,0.0039000000000000003,0.0408,0.0019,Rio Hondo
Summer 2020.1,0.9198000000000001,0.0342,0.0024,0.001,0.0024,0.038900000000000004,0.0014000000000000002,Rio Hondo
Fall 2020.1,0.9111,0.0341,0.0029,0.0014000000000000002,0.0034000000000000002,0.045599999999999995,0.0015,Rio Hondo
Spring 2021.1,0.9172,0.0323,0.0032,0.0013,0.0027,0.0409,0.0025,Rio Hondo
Summer 2021.1,0.9144,0.0329,0.0034000000000000002,0.0018,0.0023,0.0435,0.0017000000000000001,Rio Hondo
Fall 2021.1,0.9203,0.03,0.0032,0.0013,0.0018,0.0406,0.0027,Rio Hondo
Spring 2022.1,0.9109999999999999,0.0311,0.003,0.0016,0.0017000000000000001,0.042,0.009399999999999999,Rio Hondo
Summer 2022.1,0.8614,0.0242,0.0034000000000000002,0.0016,0.0014000000000000002,0.0379,0.0701,Rio Hondo
Fall 2022.1,0.9220999999999999,0.0236,0.0026,0.001,0.0014000000000000002,0.034,0.015300000000000001,Rio Hondo
Winter 2013.1,0.9007,0.0412,0.0,0.0121,0.0218,0.0218,0.0024,Glendale
Spring 2013.1,0.5870000000000001,0.2122,0.0,0.0834,0.0436,0.016200000000000003,0.0574,Glendale
Summer 2013.1,0.3286,0.3165,0.0,0.13019999999999998,0.0858,0.0005,0.1383,Glendale
Fall 2013.1,0.5915,0.2194,0.0,0.07519999999999999,0.0475,0.0172,0.0492,Glendale
Winter 2014.1,0.5489,0.2434,0.0,0.08349999999999999,0.047400000000000005,0.0141,0.06269999999999999,Glendale
Spring 2014.1,0.5882000000000001,0.22039999999999998,0.0,0.0781,0.052300000000000006,0.0165,0.0444,Glendale
Summer 2014.1,0.5999,0.2162,0.0,0.07719999999999999,0.0473,0.015,0.0444,Glendale
Fall 2014.1,0.5943,0.22390000000000002,0.0,0.07339999999999999,0.0521,0.0169,0.0394,Glendale
Winter 2015.1,0.5455,0.2438,0.0,0.0868,0.0538,0.017,0.053099999999999994,Glendale
Spring 2015.1,0.5897,0.2214,0.0,0.0771,0.056100000000000004,0.0155,0.04019999999999999,Glendale
Summer 2015.1,0.607,0.2132,0.0,0.07400000000000001,0.0506,0.0147,0.0404,Glendale
Fall 2015.1,0.61,0.20879999999999999,0.0,0.0705,0.0571,0.0155,0.0381,Glendale
Winter 2016.1,0.5785,0.231,0.0,0.0768,0.0509,0.0134,0.049400000000000006,Glendale
Spring 2016.1,0.5986,0.2151,0.0,0.0748,0.057800000000000004,0.0141,0.0395,Glendale
Summer 2016.1,0.6008,0.2113,0.0,0.0783,0.0489,0.0139,0.046799999999999994,Glendale
Fall 2016.1,0.608,0.2069,0.0,0.07719999999999999,0.053,0.0149,0.039900000000000005,Glendale
Winter 2017.1,0.569,0.2371,0.0,0.0858,0.0499,0.011899999999999999,0.0463,Glendale
Spring 2017.1,0.5927,0.2126,0.0,0.08349999999999999,0.0545,0.013999999999999999,0.0426,Glendale
Summer 2017.1,0.5963,0.20989999999999998,0.0,0.0867,0.0493,0.0129,0.0449,Glendale
Fall 2017.1,0.6006,0.21100000000000002,0.0,0.0782,0.055099999999999996,0.0138,0.0412,Glendale
Winter 2018.1,0.5621,0.24109999999999998,0.0,0.08410000000000001,0.055099999999999996,0.009399999999999999,0.0482,Glendale
Spring 2018.1,0.5953,0.2184,0.0,0.0751,0.0579,0.0115,0.0417,Glendale
Summer 2018.1,0.6149,0.20989999999999998,0.0,0.067,0.0501,0.0116,0.04650000000000001,Glendale
Fall 2018.1,0.6099,0.21780000000000002,0.0,0.0664,0.0519,0.0128,0.0412,Glendale
Winter 2019.1,0.5761,0.2441,0.0,0.069,0.050199999999999995,0.0109,0.049800000000000004,Glendale
Spring 2019.1,0.5998,0.22649999999999998,0.0,0.0623,0.054400000000000004,0.0121,0.0449,Glendale
Summer 2019.1,0.6286999999999999,0.2134,0.0,0.054900000000000004,0.043,0.0127,0.0473,Glendale
Fall 2019.1,0.6199,0.2102,0.0,0.0526,0.0483,0.0129,0.056100000000000004,Glendale
Winter 2020.1,0.5764,0.223,0.0,0.051399999999999994,0.0406,0.0134,0.09519999999999999,Glendale
Spring 2020.1,0.6135,0.20550000000000002,0.0,0.048799999999999996,0.0426,0.011699999999999999,0.0779,Glendale
Summer 2020.1,0.6615000000000001,0.1888,0.0,0.0398,0.0263,0.0098,0.0737,Glendale
Fall 2020.1,0.6627,0.1889,0.0,0.04,0.030699999999999998,0.011899999999999999,0.0659,Glendale
Winter 2021.1,0.6184000000000001,0.2053,0.0,0.0441,0.0242,0.0118,0.0962,Glendale
Spring 2021.1,0.6415000000000001,0.1973,0.0,0.0383,0.028300000000000002,0.0128,0.0819,Glendale
Summer 2021.1,0.6446,0.1677,0.0,0.0356,0.02,0.0102,0.1219,Glendale
Fall 2021.1,0.6452,0.18170000000000003,0.0,0.0373,0.0242,0.011899999999999999,0.09970000000000001,Glendale
Winter 2022.1,0.5796,0.196,0.0,0.0429,0.0154,0.0116,0.15460000000000002,Glendale
Spring 2022.1,0.6068,0.1845,0.0,0.0388,0.0239,0.0116,0.1344,Glendale
Summer 2022.1,0.5764,0.1545,0.0,0.0375,0.0144,0.0096,0.2076,Glendale
Fall 2022.1,0.6069,0.1653,0.0,0.036699999999999997,0.0219,0.011200000000000002,0.158,Glendale
Winter 2013.1,0.8231999999999999,0.0834,0.0017000000000000001,0.0068000000000000005,0.0319,0.0521,0.001,East LA
Spring 2013.1,0.8108,0.0662,0.0011,0.0052,0.0208,0.0473,0.048600000000000004,East LA
Summer 2013.1,0.8401000000000001,0.0644,0.0023,0.0063,0.0158,0.057699999999999994,0.013500000000000002,East LA
Fall 2013.1,0.8088,0.0616,0.0016,0.0052,0.018600000000000002,0.0483,0.0559,East LA
Winter 2014.1,0.8225,0.0717,0.0009,0.008100000000000001,0.024300000000000002,0.0541,0.0184,East LA
Spring 2014.1,0.8158,0.0658,0.0026,0.0059,0.0217,0.0529,0.0353,East LA
Summer 2014.1,0.8301999999999999,0.0625,0.0036,0.0058,0.0143,0.0634,0.0202,East LA
Fall 2014.1,0.8231,0.0588,0.003,0.0052,0.019299999999999998,0.054400000000000004,0.0362,East LA
Winter 2015.1,0.8242,0.057300000000000004,0.0026,0.0059,0.0199,0.051,0.0391,East LA
