,,1994-1995,1994-1995,1995-1996,1995-1996,1996-1997,1996-1997,1997-1998,1997-1998,1998-1999,1998-1999,1999-2000,1999-2000,2000-2001,2000-2001,2001-2002,2001-2002,2002-2003,2002-2003,2003-2004,2003-2004,2004-2005,2004-2005,2005-2006,2005-2006,2006-2007,2006-2007,2007-2008,2007-2008
State Name,College Name,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) 
State of California,Alameda,,,,1,4,2,18,4,15,13,17,13,15,23,28,36,21,30,21,31,33,31,30,25,33,31,21,52
State of California,Allan Hancock,,1,1,2,9,25,17,48,15,60,19,78,24,113,111,127,51,143,75,141,60,164,76,173,89,165,154,171
State of California,American River,,2,5,10,11,14,20,39,28,52,43,95,46,119,56,149,64,179,72,187,70,224,83,186,70,236,76,231
State of California,Antelope Valley,,,1,2,4,7,11,20,23,28,26,70,30,91,106,119,70,131,91,165,87,194,81,233,83,231,84,251
State of California,Bakersfield,,,,,6,9,11,25,13,24,16,54,28,58,36,88,34,101,37,140,48,152,82,200,73,201,163,224
State of California,Barstow,,,1,1,2,5,5,10,2,12,4,16,10,84,12,94,12,116,10,133,23,132,28,135,23,157,51,101
State of California,Berkeley City,,,,,2,3,10,2,19,9,18,11,24,15,14,25,20,32,16,22,19,18,20,21,12,20,23,33
State of California,Butte,,1,,7,4,5,3,10,15,20,21,48,19,72,16,79,29,85,33,103,27,107,29,109,37,122,38,133
State of California,Cabrillo,,,,2,8,3,14,35,21,41,28,59,32,73,35,87,39,107,35,119,44,99,43,94,64,111,62,125
State of California,Canada,,,1,,3,7,19,9,12,9,26,17,22,17,26,24,32,26,29,21,25,23,24,19,24,25,19,19
State of California,Canyons,,,,4,8,9,24,14,23,26,49,40,59,67,85,75,67,90,95,124,119,163,98,167,109,207,132,221
State of California,Cerritos,,,8,7,23,26,55,31,78,54,77,67,78,97,112,122,99,127,128,144,123,174,114,158,101,218,176,208
State of California,Cerro Coso,,,,2,2,8,8,10,5,27,8,29,9,62,30,54,18,59,25,68,29,75,20,92,22,89,31,111
State of California,Chabot Hayward,,,,1,9,10,25,23,33,24,56,41,70,53,58,61,49,85,76,114,65,95,77,109,64,121,81,116
State of California,Chaffey,,1,3,2,13,5,29,32,51,44,64,67,71,77,119,90,111,142,110,177,144,217,154,244,120,239,316,262
State of California,Citrus,,,1,5,14,11,34,18,48,28,53,40,69,59,89,63,79,93,114,113,129,137,133,127,102,181,319,185
State of California,Coastline,,,2,1,5,4,11,8,6,7,17,11,15,18,51,40,42,35,36,42,38,57,42,54,33,54,39,55
State of California,Columbia,,,,,1,1,5,6,2,4,3,5,3,12,10,9,7,12,9,27,6,28,14,25,9,32,16,35
State of California,Compton,,,,2,1,4,6,7,4,9,7,14,3,18,18,28,12,35,15,47,19,58,14,58,15,60,21,66
State of California,Contra Costa,,,,2,2,3,10,8,18,7,27,25,22,39,29,40,21,62,40,68,47,61,51,65,31,93,38,90
State of California,Copper Mountain,,,,,,,,,,,1,,2,7,11,10,6,16,9,25,11,42,13,51,17,48,13,45
State of California,Cosumnes River,,,2,3,7,7,11,23,21,34,31,52,41,74,67,117,61,134,70,136,90,188,85,193,71,207,83,221
State of California,Crafton Hills,,,2,1,13,5,33,12,38,12,59,16,74,26,69,38,57,42,104,67,91,67,91,57,89,77,98,87
State of California,Cuesta,1,,1,10,18,23,28,43,25,54,28,53,40,101,62,94,41,95,51,126,54,135,49,148,66,146,106,133
State of California,Cuyamaca,,,2,1,2,3,11,5,10,11,11,12,24,38,43,50,37,49,46,68,51,82,50,89,55,129,68,96
State of California,Cypress,,1,5,2,15,12,35,25,45,34,41,57,55,67,91,87,59,86,75,117,84,120,60,97,68,127,85,129
State of California,Deanza,1,,4,9,26,49,73,69,65,78,162,122,145,161,131,184,123,154,135,217,149,205,124,171,118,222,128,195
State of California,Desert,,,2,3,9,23,27,46,35,51,30,64,34,97,76,91,62,98,65,110,76,120,106,120,63,127,107,147
State of California,Diablo Valley,,1,2,13,24,31,100,74,117,113,139,150,148,206,157,214,173,233,158,245,207,289,194,262,206,281,184,271
State of California,East LA,,1,2,2,22,8,31,12,37,13,40,22,42,34,72,49,51,51,84,81,72,116,89,105,89,138,143,138
State of California,El Camino,1,,6,9,19,21,58,34,89,51,142,104,123,133,173,155,154,167,170,215,147,229,171,250,154,274,199,285
State of California,Evergreen Valley,,,1,2,4,3,6,3,14,9,31,13,29,13,39,41,31,31,58,55,46,55,46,65,44,67,53,91
State of California,Feather River,,,,,1,6,3,7,2,9,8,17,4,19,1,36,10,26,8,48,10,52,7,54,7,68,7,79
State of California,Folsom Lake,,,,,,,,,,,,,,,,,,,,,,,2,11,9,14,11,19
State of California,Foothill,,,1,3,15,24,37,57,50,71,110,106,108,122,121,155,115,168,133,222,152,179,121,213,108,233,141,220
State of California,Fresno City,,,1,,14,15,26,28,45,39,86,68,89,99,75,103,65,115,81,150,98,154,156,157,158,185,153,206
State of California,Fullerton,1,,,1,18,18,24,32,66,69,70,67,66,99,104,95,99,114,110,155,129,188,130,199,105,186,174,206
State of California,Gavilan,,,,1,1,2,2,2,4,10,6,5,5,10,10,15,21,21,17,18,15,24,27,40,15,39,19,58
State of California,Glendale,,,3,,13,4,24,15,40,16,50,23,56,37,94,53,116,73,136,85,131,111,154,108,137,119,180,127
State of California,Golden West,,,1,2,13,3,16,28,19,31,21,22,38,39,66,60,51,64,66,89,65,105,82,140,77,142,97,154
State of California,Grossmont,,1,1,4,14,26,23,29,22,48,59,70,58,109,109,170,93,178,103,212,104,250,140,234,126,296,157,262
State of California,Hartnell,,,,1,5,17,11,24,16,26,22,37,21,47,31,46,31,57,45,65,43,75,46,82,42,86,37,99
State of California,Imperial,,,,1,1,1,6,3,15,7,14,12,17,42,17,27,23,49,26,93,29,91,27,84,25,128,32,176
State of California,Irvine,,1,3,6,26,11,31,37,34,51,44,71,48,95,77,86,60,89,77,95,86,110,64,81,67,105,68,101
State of California,LA City,,,3,2,8,6,15,9,24,14,35,19,42,35,32,45,45,58,55,70,61,82,51,84,50,84,84,89
State of California,LA Harbor,,,4,1,7,13,24,25,20,17,35,32,36,48,66,56,49,54,61,94,48,86,50,92,39,101,46,83
State of California,LA ITV,,,,,2,,2,1,1,2,5,5,2,6,6,7,1,7,3,2,5,4,4,4,7,13,7,7
State of California,LA Mission,,,,,2,2,7,4,13,7,19,10,18,22,30,27,20,29,28,51,35,53,37,62,26,71,32,59
State of California,LA Pierce,,,4,4,19,13,38,20,45,21,68,56,73,73,85,81,62,114,100,125,93,155,126,157,106,164,132,152
State of California,LA Swest,,,,1,4,3,18,5,18,18,13,23,18,21,21,26,18,45,15,63,21,53,30,82,24,53,37,82
State of California,LA Trade,,,,,10,1,5,3,12,5,21,14,29,27,27,42,36,37,32,51,49,65,41,73,36,93,55,71
State of California,LA Valley,,,1,1,17,11,25,19,39,35,51,48,60,65,73,85,67,95,86,106,97,102,75,92,82,130,88,115
State of California,Lake Tahoe,,,,,1,2,2,9,2,9,2,15,6,19,1,30,8,31,7,45,10,52,8,40,5,37,8,58
State of California,Laney,,,,,7,4,24,21,31,38,38,35,53,49,43,73,53,70,57,75,50,97,43,80,48,88,38,95
State of California,Las Positas,,,1,2,3,5,14,11,23,15,34,24,29,28,45,46,58,52,54,70,41,79,64,67,74,93,51,70
State of California,Lassen,,1,,4,2,12,1,21,4,22,4,42,6,43,7,35,6,52,8,73,11,70,10,81,14,69,12,86
State of California,Long Beach,,,,8,21,33,40,49,57,50,78,77,96,94,85,155,63,155,100,197,81,193,86,188,77,223,94,229
State of California,Los Medanos,,,1,,1,3,11,9,14,17,17,28,34,39,42,33,54,59,42,85,56,90,59,89,52,109,45,124
State of California,Marin,,,1,6,5,12,10,15,14,13,31,26,49,35,45,36,45,64,58,67,58,64,54,67,59,70,55,76
State of California,Marin Continuing,,,,,,,,,,2,1,,2,2,3,5,1,5,5,,3,1,4,7,3,4,6,4
State of California,Mendocino,,,,2,1,5,6,5,5,9,11,18,15,30,16,30,17,34,20,57,29,50,21,39,31,53,31,49
State of California,Merced,,,2,,4,8,9,14,9,17,27,39,19,43,52,42,43,47,41,80,47,88,63,76,56,128,59,137
State of California,Merritt,,,,,1,1,9,9,18,14,14,25,26,19,32,26,32,34,25,34,26,38,24,50,13,46,25,52
State of California,MiraCosta,,,2,5,10,30,18,58,31,58,32,101,34,109,53,119,54,143,52,159,69,169,75,148,85,187,91,183
State of California,Mission,,,1,,5,4,11,8,8,9,18,10,31,18,25,21,29,33,19,46,29,33,28,37,24,54,27,45
State of California,Modesto,,,1,2,1,9,18,14,20,20,23,20,33,48,139,81,109,104,117,141,167,164,146,175,133,230,158,208
State of California,Monterey,,,,,3,9,17,15,9,45,17,92,20,86,37,123,40,136,43,138,61,123,32,145,65,122,46,108
State of California,Moorpark,1,,3,11,34,27,84,72,108,76,129,104,136,144,146,150,144,183,171,197,203,233,201,222,167,223,216,221
State of California,Mt San Antonio,,1,3,,30,24,63,50,118,69,117,82,120,111,159,138,133,201,157,233,183,278,187,245,156,293,380,331
State of California,Mt. San Jacinto,,,3,2,13,8,32,19,38,36,57,34,60,66,98,73,99,95,98,131,130,157,150,183,142,233,136,252
State of California,Napa,,,,,4,8,8,10,28,17,18,20,37,36,38,44,39,42,25,65,54,72,41,68,42,63,51,96
State of California,North Orange Adult,,,,,,,,,1,1,3,6,6,10,11,15,14,15,15,13,16,29,21,29,26,30,38,48
State of California,Ohlone,,,4,3,8,3,15,18,31,21,68,36,74,62,43,69,50,57,49,86,74,99,71,89,63,101,70,116
State of California,Orange Coast,,1,7,11,16,14,40,45,43,51,73,68,79,90,195,138,154,180,167,216,196,215,204,234,150,244,181,266
State of California,Oxnard,,,2,2,3,7,13,9,20,24,20,32,20,55,39,48,54,69,42,77,53,72,57,91,52,84,94,79
State of California,Palo Verde,,,,,,,,,1,,1,1,1,4,3,7,2,11,2,11,5,12,10,10,5,15,5,20
State of California,Palomar,,1,2,10,20,35,25,85,59,136,83,195,106,273,153,304,131,352,128,397,184,441,174,452,171,454,212,467
State of California,Pasadena,1,,5,6,40,8,78,25,154,55,174,89,175,89,211,152,192,181,211,206,210,225,212,200,207,262,346,268
State of California,Porterville,,,,,2,,3,3,4,5,1,8,8,10,13,14,12,15,16,18,12,20,30,31,30,39,48,40
State of California,Rancho Santiago CED,,,,,1,1,4,3,5,7,8,5,16,17,36,22,41,29,25,38,49,48,49,41,47,54,30,58
State of California,Redwoods,,,1,,2,9,9,27,7,25,7,28,16,45,17,62,12,63,18,118,16,91,28,96,19,116,22,117
State of California,Reedley College,,,1,1,21,7,21,17,35,20,59,41,49,56,66,60,46,58,70,89,60,82,145,101,103,122,115,134
State of California,Rio Hondo,,,5,,8,2,27,12,37,14,44,22,36,35,60,50,59,52,63,79,78,71,66,79,78,106,129,113
State of California,Riverside,,1,9,8,40,42,99,72,136,76,149,101,199,172,247,208,265,261,317,320,353,358,388,363,344,441,415,451
State of California,Sacramento City,,,,9,4,14,23,31,19,51,33,71,49,84,52,117,50,135,63,130,73,153,68,148,51,183,72,182
State of California,Saddleback,1,,3,9,41,49,46,73,66,84,78,112,111,147,160,174,148,165,141,211,144,205,169,218,169,250,173,266
State of California,San Bernardino,,,1,,12,4,27,13,24,32,36,34,66,49,88,54,76,75,93,98,97,135,112,116,79,170,140,168
