,,2014-2015,2014-2015,2015-2016,2015-2016,2016-2017,2016-2017,2017-2018,2017-2018,2018-2019,2018-2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2021-2022
State Name,College Name,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) 
State of California,Alameda,17,28,25,40,20,44,12,53,18,44,12,37,18,53,6,42
State of California,Allan Hancock,91,183,75,137,69,150,63,168,83,166,60,169,60,200,53,178
State of California,American River,80,217,52,217,34,200,56,212,44,182,38,166,33,182,25,142
State of California,Antelope Valley,96,256,77,249,75,217,54,188,54,190,41,201,27,216,32,145
State of California,Bakersfield,98,204,87,202,83,202,76,185,78,197,49,233,64,226,58,233
State of California,Barstow,32,145,38,143,30,112,26,118,17,100,24,101,18,116,18,95
State of California,Berkeley City,28,29,20,42,12,42,18,33,19,39,20,44,15,50,25,59
State of California,Butte,27,77,23,84,14,64,17,92,17,62,11,91,13,108,10,79
State of California,Cabrillo,69,158,47,158,44,127,35,138,37,132,23,116,23,119,15,105
State of California,Canada,44,30,25,36,27,40,14,28,21,31,27,39,18,38,15,46
State of California,Canyons,131,201,107,207,94,159,97,159,68,151,82,147,42,148,41,128
State of California,Cerritos,125,204,103,144,62,141,83,146,74,141,74,152,64,132,58,122
State of California,Cerro Coso,24,99,14,90,21,100,19,106,13,84,32,107,12,125,23,91
State of California,Chabot Hayward,85,139,49,131,47,104,43,95,45,105,40,100,39,121,37,133
State of California,Chaffey,303,312,243,331,230,277,208,277,179,286,153,260,129,255,139,235
State of California,Citrus,231,201,194,183,162,163,154,126,132,150,96,135,93,146,86,136
State of California,Clovis Community College,,,,,2,1,4,6,7,8,8,15,10,15,16,19
State of California,Coastline,78,308,75,302,66,282,47,248,47,221,48,233,41,241,41,174
State of California,Columbia,21,65,12,57,10,53,12,39,7,55,11,56,9,53,9,54
State of California,Compton,35,74,32,59,47,79,30,50,29,60,31,72,26,66,25,58
State of California,Contra Costa,54,95,44,96,30,82,35,66,34,70,35,88,33,71,24,79
State of California,Copper Mountain,22,56,15,55,8,54,7,50,11,38,7,37,9,38,5,27
