,,,Annual 1992-1993,Annual 1992-1993,Annual 1992-1993,Annual 1993-1994,Annual 1993-1994,Annual 1993-1994,Annual 1994-1995,Annual 1994-1995,Annual 1994-1995,Annual 1995-1996,Annual 1995-1996,Annual 1995-1996,Annual 1996-1997,Annual 1996-1997,Annual 1996-1997,Annual 1997-1998,Annual 1997-1998,Annual 1997-1998,Annual 1998-1999,Annual 1998-1999,Annual 1998-1999,Annual 1999-2000,Annual 1999-2000,Annual 1999-2000,Annual 2000-2001,Annual 2000-2001,Annual 2000-2001,Annual 2001-2002,Annual 2001-2002,Annual 2001-2002,Annual 2002-2003,Annual 2002-2003,Annual 2002-2003,Annual 2003-2004,Annual 2003-2004,Annual 2003-2004,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023
College Name,Award Type,Award Type Description,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount
East LA,California College Promise Grant,California College Promise - Method A-? (unknown base),331,331,"$52,892","1,847","1,847","$420,769","1,986","1,986","$463,665","2,143","2,143","$499,750","1,759","1,759","$386,236","1,434","1,434","$334,328","1,276","1,276","$275,065","10,225","10,225","$105,600",488,488,"$84,860",276,276,"$43,572",160,296,"$21,074",160,409,"$30,790",153,382,"$38,885",116,271,"$29,822",90,225,"$24,196",107,285,"$28,580",157,413,"$40,680",207,387,"$66,016",208,421,"$69,680",82,151,"$33,333",72,138,"$41,768",56,121,"$30,728",33,61,"$19,044",11,21,"$4,784",2,3,$414,3,3,$920,9,19,"$5,842",8,13,"$3,358",3,4,"$1,380",,,,1,2,"$1,288"
East LA,California College Promise Grant,California College Promise - Method A-1 based on TANF recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,$364,72,147,"$11,940",36,64,"$2,620",11,15,"$1,818",16,22,"$2,730",38,63,"$13,928",24,41,"$10,856",22,42,"$9,476",16,27,"$9,016",39,95,"$29,164",2,3,$276,16,25,"$9,384",27,66,"$23,644",12,14,"$5,060",8,10,"$2,668",10,16,"$4,462",7,9,"$2,024"
East LA,California College Promise Grant,California College Promise - Method A-2 based on SSI recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,$234,46,109,"$8,500",10,18,$920,2,2,$156,7,12,$858,20,38,"$6,742",8,13,"$5,428",20,36,"$8,924",20,32,"$8,602",34,71,"$16,376",3,5,$874,9,13,"$2,116",10,21,"$6,095",9,16,"$4,278",10,16,"$3,404",5,7,"$1,656",3,6,"$1,932"
East LA,California College Promise Grant,California College Promise - Method A-3 based on general assistance recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,$258,14,27,"$3,240",5,8,$760,1,1,$78,4,7,"$1,014",7,12,"$2,298",7,8,"$2,300",8,16,"$3,726",1,1,$184,9,15,"$3,082",1,4,$552,2,2,"$1,472",1,3,"$1,012",2,3,"$1,196",,,,,,,,,
East LA,California College Promise Grant,California College Promise - Method B based on income standards,"1,192","1,192","$210,072","3,840","3,840","$946,030","5,400","5,400","$1,330,278","6,453","6,453","$1,432,537","7,451","7,451","$1,638,959","8,331","8,331","$1,872,634","7,810","7,810","$1,680,428","10,225","10,225","$1,756,629","9,387","9,387","$1,571,417","11,134","11,134","$1,961,035","13,568","28,743","$2,236,927","15,240","39,505","$3,584,619","15,863","42,001","$5,386,121","16,033","41,418","$5,683,509","16,326","41,924","$5,158,768","17,647","45,772","$4,718,720","20,750","53,487","$5,532,370","21,225","43,314","$7,754,790","22,973","47,384","$8,651,370","24,800","51,449","$12,334,905","22,918","45,623","$14,440,412","22,232","47,585","$14,497,728","22,229","48,129","$14,779,570","21,914","48,293","$14,666,870","18,572","41,201","$12,728,016","18,956","40,176","$12,435,585","16,188","33,428","$11,541,285","15,237","30,650","$10,038,330","15,003","27,725","$9,162,503","12,865","22,638","$7,271,435","12,509","23,274","$7,251,315"
East LA,California College Promise Grant,California College Promise - Method C based on financial need,438,438,"$49,132",624,624,"$145,421",310,310,"$70,010","1,219","1,219","$276,077","1,626","1,626","$343,324","1,464","1,464","$353,959","1,640","1,640","$376,334","10,224","10,224","$263,508",885,885,"$167,318","1,514","1,514","$291,069","2,273","5,092","$410,240","2,884","7,608","$721,769","3,160","8,558","$1,134,288","3,035","8,091","$1,163,617","2,767","7,291","$927,967","2,968","7,701","$804,370","4,043","10,428","$1,095,980","3,490","7,342","$1,364,336","3,728","7,863","$1,458,821","4,826","10,136","$2,414,690","4,772","9,723","$3,099,733","4,817","10,291","$3,164,248","4,875","10,614","$3,293,600","5,194","11,577","$3,575,442","6,331","13,997","$4,247,640","6,434","13,686","$4,222,985","6,468","14,215","$4,359,558","6,182","12,034","$3,853,745","7,432","13,379","$4,303,461","6,388","11,097","$3,539,242","6,313","11,828","$3,638,040"
East LA,California College Promise Grant,California College Promise - Method D based on Homeless Youth determination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$138
East LA,California College Promise Grant,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,"$2,070",,,,2,4,"$1,564",1,3,$736,2,2,$460,,,,,,
East LA,California College Promise Grant,Fee Waiver – Dependent (surviving spouse and children) of deceased or disabled member of CA National Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,$541,,,,,,,,,,,,,,,,,,,,,,9,23,"$9,062",8,17,"$6,348",4,8,"$2,944",7,8,"$1,886",7,7,"$1,564",4,5,"$1,104"
