,,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Winter 2013,Winter 2013,Winter 2013,Winter 2013,Winter 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Winter 2014,Winter 2014,Winter 2014,Winter 2014,Winter 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Winter 2015,Winter 2015,Winter 2015,Winter 2015,Winter 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Winter 2016,Winter 2016,Winter 2016,Winter 2016,Winter 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023
College Name,Special Characteristic,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES
Glendale,CAFYES - Cooperating Agencies Foster Youth Educational Support             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,2.40,0,0.00,4,4,0.40,0,0.00
Glendale,CalWORKs - California Work Opportunity & Responsibility to Kids            ,838,"2,329",197.57,697,113.16,2,3,0.01,0,0.00,795,"1,916",203.65,639,98.07,169,1,0.17,288,21.09,783,"1,768",186.48,736,113.86,335,117,2.12,414,29.68,774,"1,488",160.24,794,125.37,352,122,1.90,471,34.51,759,"1,361",145.58,784,135.01,426,143,14.24,558,39.41,769,"1,303",140.59,912,147.67,434,127,12.82,554,40.57,732,"1,331",145.11,779,131.32,495,152,13.91,667,45.48,836,"1,321",147.28,968,164.89,517,166,16.35,682,84.03,772,"1,428",156.14,801,143.38,536,230,24.52,611,48.48,790,"1,357",162.19,721,127.90,481,186,18.67,605,74.59,809,"1,365",161.84,789,136.41,549,246,22.63,563,46.39,749,"1,220",139.47,684,123.96,488,208,19.52,580,76.24,698,"1,341",154.91,593,112.24,496,265,25.22,508,40.32,640,"1,144",131.55,502,94.60,396,258,23.69,398,32.33,511,"1,087",124.67,382,71.84,363,217,22.57,295,23.27,479,"1,022",115.66,305,45.54,298,356,34.28,171,16.90,416,952,104.83,211,50.02,208,192,18.46,103,9.51,405,897,100.32,217,40.44,275,297,27.11,191,15.80,382,906,98.46,222,44.80,197,187,16.45,117,9.62,425,922,96.30,243,46.97,270,322,29.14,187,13.75,500,991,101.36,422,77.75,299,130,11.41,311,27.79,828,788,79.87,980,206.54,849,328,27.21,"1,095",86.99
Glendale,CARE - Cooperative Agencies Resources for Education                        ,21,121,10.78,0,0.00,,,,,,22,101,11.64,0,0.00,,,,,,24,110,11.75,1,0.02,8,10,0.19,0,0.00,19,84,8.53,0,0.00,4,7,0.11,0,0.00,24,122,12.21,0,0.00,10,15,1.28,0,0.00,24,102,10.66,2,0.22,11,23,1.48,0,0.00,25,125,13.18,0,0.00,10,14,1.17,0,0.00,20,82,8.58,0,0.00,4,6,0.42,0,0.00,15,70,7.38,1,0.08,7,8,0.92,1,0.01,18,65,7.79,1,0.02,9,17,1.63,4,0.14,23,100,11.11,0,0.00,15,25,2.26,0,0.00,26,117,11.78,0,0.00,14,30,2.60,0,0.00,28,121,12.89,4,0.13,12,24,2.02,0,0.00,25,97,10.00,0,0.00,9,17,1.58,1,0.15,21,88,9.39,0,0.00,9,13,1.20,1,0.12,26,102,10.28,1,0.01,12,27,2.48,0,0.00,24,100,10.07,0,0.00,12,17,1.26,1,0.02,22,89,9.67,0,0.00,7,15,1.41,0,0.00,19,80,7.71,0,0.00,11,15,1.19,0,0.00,17,67,7.26,0,0.00,6,11,1.09,0,0.00,15,67,6.18,0,0.00,7,12,1.05,0,0.00,17,78,7.91,0,0.00,7,20,1.77,0,0.00
Glendale,CCAP - College and Career Access Pathways                                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,194,15.40,9,0.33,,,,,,81,122,10.46,0,0.00,,,,,,134,243,22.46,8,0.34,34,34,3.04,0,0.00,53,82,8.23,0,0.00,,,,,,106,186,15.30,3,0.05,55,55,1.68,1,0.02,26,56,5.73,0,0.00,,,,,,77,205,19.02,1,0.19,47,47,1.48,0,0.00,27,58,6.08,0,0.00,,,,,,79,173,15.75,1,0.02,55,55,1.81,0,0.00,30,64,6.62,1,0.21,,,,,,440,844,79.57,11,0.81,133,153,12.16,2,0.08,340,672,65.26,4,0.10,54,54,1.80,0,0.00
Glendale,DSPS - Disabled Students Programs & Services                               ,719,"2,778",246.73,55,2.30,1,1,0.01,0,0.00,552,"2,012",195.55,24,2.33,11,2,0.20,16,0.87,467,"1,729",166.57,20,1.72,147,181,2.31,26,1.56,416,"1,511",146.38,30,1.55,89,117,1.69,15,0.73,541,"1,964",190.77,44,3.41,97,125,11.00,12,0.41,482,"1,670",167.65,28,2.57,98,124,12.56,6,0.43,443,"1,526",153.80,12,1.43,109,143,12.79,9,0.47,414,"1,415",151.52,12,1.05,137,245,23.84,14,0.99,540,"1,860",193.07,31,3.40,110,141,13.78,9,0.54,493,"1,517",161.50,42,4.22,133,204,19.26,20,1.47,515,"1,656",178.03,41,3.88,111,135,12.91,11,0.42,498,"1,613",170.59,53,5.02,135,206,18.51,25,1.44,482,"1,600",164.36,67,4.20,117,166,15.27,15,0.69,441,"1,462",153.64,42,2.85,144,229,19.33,23,1.23,518,"1,792",189.77,48,3.38,112,144,13.11,16,0.77,391,"1,275",130.19,30,1.26,132,218,21.52,6,0.12,396,"1,342",142.44,29,1.69,128,176,16.72,19,0.90,359,"1,181",123.97,46,4.02,129,209,20.23,32,1.44,390,"1,267",135.20,49,3.60,89,119,11.50,19,0.43,350,"1,110",115.02,48,3.32,131,206,17.67,34,1.69,401,"1,312",128.79,72,4.34,106,127,11.10,53,1.93,371,"1,216",122.37,129,6.11,118,175,14.22,48,1.35
Glendale,Economically Disadvantaged                                                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0.95,2,0.02,14,30,3.40,10,0.30,6,7,0.75,0,0.00,10,32,3.33,0,0.00,8,18,1.62,0,0.00,13,35,3.77,0,0.00,3,5,0.41,0,0.00,8,27,2.86,0,0.00,4,9,1.06,0,0.00,12,43,4.29,0,0.00,4,5,0.32,0,0.00,8,29,3.03,0,0.00,3,4,0.43,0,0.00,14,45,4.61,4,0.09,4,4,0.26,1,0.01,6,18,2.01,0,0.00,6,10,0.87,0,0.00,18,43,4.24,8,0.37,4,5,0.38,0,0.00,24,56,5.33,1,0.01,8,15,1.06,0,0.00
Glendale,EOPS - Extended Opportunity Programs & Services                            ,"1,451","7,326",719.54,29,1.98,10,17,0.33,0,0.00,"1,485","6,906",744.65,32,2.59,8,4,0.48,5,0.29,"1,536","6,929",750.31,24,1.89,685,955,14.36,7,0.35,"1,426","6,228",673.86,31,1.53,521,769,10.20,3,0.09,"1,628","7,227",793.13,34,1.74,810,"1,199",112.64,4,0.26,"1,508","6,447",714.96,29,2.22,561,823,86.19,11,0.45,"1,578","6,924",764.49,35,2.63,641,928,84.93,14,0.80,"1,521","6,352",727.33,36,2.64,596,940,93.26,11,0.48,"1,733","7,382",835.28,42,2.11,675,995,94.02,17,0.85,"1,744","6,851",801.69,48,3.98,672,"1,151",115.45,17,1.86,"1,714","6,980",813.03,55,2.34,914,"1,375",128.63,17,0.87,"1,708","6,803",774.95,35,1.67,610,"1,072",101.86,22,1.01,"1,698","7,002",786.21,53,2.47,918,"1,524",134.94,13,0.70,"1,683","6,630",745.65,53,2.48,675,"1,247",118.55,27,0.92,"1,714","6,862",782.54,59,4.07,889,"1,381",122.62,17,0.58,"1,717","6,602",743.23,82,4.62,876,"1,774",176.83,21,0.96,"1,582","6,299",699.64,37,4.08,771,"1,298",118.01,12,0.67,"1,482","5,761",627.12,73,5.59,631,"1,309",122.19,23,0.96,"1,482","5,923",646.36,56,4.11,801,"1,393",122.74,20,1.19,"1,373","5,139",549.23,63,6.74,537,"1,097",100.62,30,1.20,"1,271","5,164",541.54,72,6.84,714,"1,228",106.20,23,0.73,"1,330","5,152",542.80,84,8.36,618,"1,296",117.62,23,1.01
Glendale,First Generation                                                           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.09,0,0.00,8,33,3.82,0,0.00,,,,,,,,,,,,,,,,,,,,,"1,874","2,348",232.90,639,66.33,"4,317","12,085","1,387.17",779,93.39,"1,920","2,350",224.85,465,27.18,"4,366","12,057","1,353.26",723,88.50,"2,120","2,965",279.57,472,40.68,"4,771","14,245","1,567.86",748,85.81,"2,173","2,872",264.51,446,28.35,"4,632","13,322","1,480.08",777,87.66,"2,425","3,472",320.14,558,32.01,"5,125","15,156","1,693.18",868,92.28,"2,305","2,688",251.11,618,37.18,"4,967","13,760","1,519.08","1,031",96.59,"2,780","4,392",429.72,592,38.54,"5,005","14,869","1,612.86",929,110.17,"2,243","2,860",270.45,681,37.33,"4,818","13,538","1,473.05","1,182",130.96,"2,464","3,571",340.97,832,52.57,"4,824","13,327","1,418.85","1,340",162.85,"2,290","2,654",244.68,"1,033",70.34,"4,649","11,090","1,176.41","1,991",253.94,"2,524","3,062",285.51,"1,292",86.60,"4,723","11,928","1,222.49","1,851",259.27,"2,712","2,631",239.51,"1,415",102.66,"5,076","11,230","1,166.18","2,386",364.88,"3,082","3,437",305.17,"1,781",135.01
Glendale,Formerly Incarcerated                                                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,26,2.63,4,0.09,2,2,0.19,1,0.01,8,19,1.97,0,0.00,4,8,0.74,0,0.00,4,11,1.07,0,0.00,,,,,,16,35,3.60,2,0.05,8,9,0.72,1,0.03
