College Name,Award Type,Annual 1992-1993    ,Annual 1993-1994    ,Annual 1994-1995    ,Annual 1995-1996    ,Annual 1996-1997    ,Annual 1997-1998    ,Annual 1998-1999    ,Annual 1999-2000,Annual 2000-2001,Annual 2001-2002,Annual 2002-2003,Annual 2003-2004,Annual 2004-2005,Annual 2005-2006,Annual 2006-2007,Annual 2007-2008,Annual 2008-2009,Annual 2009-2010,Annual 2010-2011,Annual 2011-2012,Annual 2012-2013,Annual 2013-2014,Annual 2014-2015,Annual 2015-2016,Annual 2016-2017,Annual 2017-2018,Annual 2018-2019,Annual 2019-2020,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023
Glendale,Associate in Science for Transfer (A.S.-T) Degree           ,,,,,,,,,,,,,,,,,,,,,4,10,117,212,241,326,337,359,349,335,293
Glendale,Associate in Arts for Transfer (A.A.-T) Degree              ,,,,,,,,,,,,,,,,,,,,,14,27,95,183,226,219,302,359,458,342,347
Glendale,Associate of Science (A.S.) degree                          ,118,133,161,165,162,150,151,114,139,156,132,412,131,140,185,188,208,179,170,186,254,188,194,199,208,212,226,218,300,374,421
Glendale,Associate of Arts (A.A.) degree                             ,351,286,213,180,179,260,351,321,359,332,402,332,412,452,458,463,478,442,342,254,226,229,207,179,174,190,185,179,187,201,243
Glendale,Certificate requiring 60+ semester units                    ,,,,,,40,32,65,40,54,38,,8,6,,1,,,,,,,,,,,,2,,,
Glendale,Certificate requiring 30 to < 60 semester units             ,204,251,293,282,284,181,187,304,233,208,200,10,187,157,148,145,108,95,99,146,209,141,144,120,115,99,147,236,221,244,270
Glendale,Certificate requiring 18 to < 30 semester units             ,,,,,,25,19,88,67,52,44,64,123,109,50,42,124,125,104,166,232,159,149,149,126,108,145,,,,
Glendale,Certificate requiring 16 to fewer than 30 semester units    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,185,229,234
Glendale,Certificate requiring 12 to < 18 units                      ,,,,,,,,,,,,,,,,,3,,11,11,9,10,5,4,2,8,6,,,,
Glendale,Certificate requiring 8 to fewer than 16 semester units     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,9
Glendale,Certificate requiring 6 to < 18 semester units              ,,,,,,,,1,20,120,81,143,114,69,74,61,63,36,4,2,3,2,1,4,82,45,84,92,70,65,67
Glendale,"Other Credit Award, < 6 semester units                      ",,,,,,18,31,,,14,11,,56,69,100,94,,,,,,,,,,33,24,,,,
Glendale,Noncredit award requiring from 960+ hours                   ,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Glendale,Noncredit award requiring from 480 to < 960 hours           ,,,,,,,,,,,,,,,,,114,,51,56,55,104,147,123,171,136,118,58,66,126,79
Glendale,Noncredit award requiring from 288 to < 480 hours           ,,,,,,,,,,,,,,,,,8,,12,20,11,11,3,10,108,113,120,25,50,67,58
Glendale,Noncredit award requiring from 192 to < 288 hours           ,,,,,,,,,,,,,,,,,,,24,25,29,6,28,21,22,13,9,35,53,58,43
Glendale,Noncredit award requiring from 144 to < 192 hours           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,10
Glendale,Noncredit award requiring from 48 to < 96 hours             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
