,,,Annual 1992-1993,Annual 1992-1993,Annual 1992-1993,Annual 1993-1994,Annual 1993-1994,Annual 1993-1994,Annual 1994-1995,Annual 1994-1995,Annual 1994-1995,Annual 1995-1996,Annual 1995-1996,Annual 1995-1996,Annual 1996-1997,Annual 1996-1997,Annual 1996-1997,Annual 1997-1998,Annual 1997-1998,Annual 1997-1998,Annual 1998-1999,Annual 1998-1999,Annual 1998-1999,Annual 1999-2000,Annual 1999-2000,Annual 1999-2000,Annual 2000-2001,Annual 2000-2001,Annual 2000-2001,Annual 2001-2002,Annual 2001-2002,Annual 2001-2002,Annual 2002-2003,Annual 2002-2003,Annual 2002-2003,Annual 2003-2004,Annual 2003-2004,Annual 2003-2004,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023
College Name,Award Type,Award Type Description,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount
Glendale,California College Promise Grant,California College Promise - Method A-? (unknown base),838,838,"$69,429",581,581,"$155,025","2,064","2,064","$505,809","1,427","1,427","$380,493","1,932","1,932","$461,019","1,923","1,923","$466,691","1,884","1,884","$425,097","1,935","1,935","$397,682","1,636","1,636","$499,290","1,927","1,927","$359,261","1,915","4,255","$365,145","1,574","3,525","$496,047","1,399","3,211","$663,638","1,307","3,042","$632,086","1,237","2,885","$527,660",,,,,,,,,,"1,675","3,752","$833,895","1,500","3,051","$1,010,080","1,341","2,590","$1,158,190","1,194","2,590","$1,071,858","1,039","2,306","$19,722","1,104","2,397","$20,523","1,064","2,366","$20,144",898,"2,065","$17,517",742,"1,814","$15,274",608,"1,549","$12,927",177,477,"$4,713",90,265,"$2,711",48,123,"$1,271"
Glendale,California College Promise Grant,California College Promise - Method A-1 based on TANF recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,"1,801","$298,750",921,"2,179","$367,460","1,135","2,644","$443,850",95,191,"$29,718",22,47,"$13,404",8,18,"$8,100",5,10,"$3,492","1,040","2,312","$901,715","1,106","2,399","$932,903","1,065","2,375","$912,433",896,"2,058","$774,732",737,"1,804","$687,309",608,"1,556","$577,300",177,479,"$181,631",90,265,"$99,728",49,125,"$45,494"
Glendale,California College Promise Grant,California College Promise - Method A-2 based on SSI recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,881,"$127,810",494,"1,107","$159,230",490,"1,078","$160,760",65,116,"$14,886",11,22,"$4,273",4,7,"$3,145",5,9,"$3,071",,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,California College Promise Grant,California College Promise - Method A-3 based on general assistance recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,50,"$7,490",38,77,"$12,390",120,212,"$37,140",9,11,"$1,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,California College Promise Grant,California College Promise - Method B based on income standards,"1,640","1,640","$126,399",685,685,"$185,137","1,985","1,985","$438,899","1,827","1,827","$456,140","2,963","2,963","$690,475","2,500","2,500","$577,405","2,712","2,712","$540,326","2,848","2,848","$550,951","4,104","4,104","$1,243,291","4,958","4,958","$938,628","5,341","11,319","$963,876","5,474","11,596","$1,588,417","5,708","12,022","$2,365,940","5,907","13,066","$2,596,399","5,524","11,992","$2,146,893","5,687","12,105","$1,914,690","5,901","12,533","$1,988,170","7,127","14,774","$2,377,910","8,022","16,277","$3,336,034","7,506","14,371","$4,382,308","8,031","14,460","$5,923,588","8,049","16,343","$6,246,133","8,056","16,834","$6,307,589","8,814","18,336","$6,722,647","8,239","17,714","$6,426,085","7,992","17,350","$6,296,664","7,455","16,314","$5,956,632","6,800","15,057","$5,353,733","6,502","15,076","$5,760,580","5,769","12,931","$4,839,844","5,147","11,695","$4,415,172"
Glendale,California College Promise Grant,California College Promise - Method C based on financial need,396,396,"$29,886",199,199,"$44,072",521,521,"$107,184",654,654,"$139,921",851,851,"$190,869",808,808,"$183,899",953,953,"$182,854","1,361","1,361","$268,117","1,044","1,044","$319,926","1,361","1,361","$281,134","1,560","3,382","$287,495","1,690","3,656","$503,368","1,969","4,300","$860,243","1,992","4,627","$907,517","2,024","4,765","$844,500","1,993","4,509","$720,640","2,332","5,217","$835,370","2,587","5,618","$908,540","2,773","5,685","$1,184,846","2,870","5,484","$1,626,138","3,105","5,639","$2,242,894","3,151","6,550","$2,412,194","3,170","6,751","$2,451,087","3,087","6,586","$2,329,072","2,853","6,371","$2,248,112","2,603","6,034","$2,112,320","2,551","5,757","$2,014,685","2,649","6,168","$2,129,938","2,778","6,655","$2,454,330","2,270","5,303","$1,917,947","2,359","5,454","$1,998,332"
Glendale,California College Promise Grant,California College Promise - Method D based on Homeless Youth determination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$644,3,7,"$3,450",2,3,$552,1,1,$276,,,,,,
Glendale,California College Promise Grant,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,$840,4,5,$880,9,18,"$3,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,California College Promise Grant,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,19,"$3,010",,,,2,5,$800,7,13,"$3,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Grants,Academic Competitiveness Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,119,"$51,413",138,231,"$103,083",120,182,"$86,053",169,298,"$124,025",517,888,"$338,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Grants,Bureau of Indian Affairs (BIA) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,"$15,260",5,9,"$48,312",3,5,"$14,639",13,19,"$73,805",2,3,"$11,835",,,,5,8,"$34,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Grants,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,"$33,000",11,15,"$32,250"
Glendale,Grants,Cal Grant B,,,,62,62,"$76,813",171,171,"$181,306",173,173,"$193,179",189,189,"$211,518",171,171,"$211,330",193,193,"$222,609",233,233,"$275,624",350,350,"$447,025",651,651,"$831,771",807,"1,423","$986,450",890,"1,533","$1,048,022",992,"1,738","$1,181,375","1,012","1,769","$1,194,780","1,005","1,762","$1,203,471",991,"1,728","$1,193,180",915,"1,592","$1,107,868",984,"1,763","$1,244,776",890,"1,604","$1,095,525","1,040","1,882","$1,280,460","1,176","2,104","$1,362,144","1,315","2,351","$1,531,132","1,376","2,472","$1,798,998","1,424","2,557","$1,882,251","1,599","2,866","$2,109,909","1,678","2,983","$2,198,053","1,520","2,713","$1,987,381","1,592","2,868","$2,803,080","1,608","2,883","$2,998,698","2,132","3,705","$3,759,140","1,858","3,231","$3,700,639"
Glendale,Grants,Cal Grant C,,,,7,7,"$3,113",31,31,"$11,754",22,22,"$6,893",14,14,"$5,033",16,16,"$6,493",25,25,"$9,740",53,53,"$20,600",93,93,"$35,640",113,113,"$44,820",86,131,"$27,720",70,118,"$28,584",75,118,"$27,552",79,127,"$29,808",69,115,"$26,424",50,78,"$17,136",48,78,"$19,008",49,80,"$19,368",40,68,"$16,488",32,54,"$13,464",47,78,"$17,649",49,82,"$17,988",37,63,"$14,300",36,63,"$14,503",40,65,"$14,234",41,66,"$30,088",54,98,"$45,388",111,203,"$239,856",107,196,"$261,232",55,92,"$102,052",18,24,"$19,426"
Glendale,Grants,CARE Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,"$61,719"
