,,Summer 1992,Summer 1992,Fall 1992,Fall 1992,Spring 1993,Spring 1993,Summer 1993,Summer 1993,Fall 1993,Fall 1993,Spring 1994,Spring 1994,Summer 1994,Summer 1994,Fall 1994,Fall 1994,Spring 1995,Spring 1995,Summer 1995,Summer 1995,Fall 1995,Fall 1995,Spring 1996,Spring 1996,Summer 1996,Summer 1996,Fall 1996,Fall 1996,Spring 1997,Spring 1997,Summer 1997,Summer 1997,Fall 1997,Fall 1997,Spring 1998,Spring 1998,Summer 1998,Summer 1998,Fall 1998,Fall 1998,Spring 1999,Spring 1999,Summer 1999,Summer 1999,Fall 1999,Fall 1999,Spring 2000,Spring 2000,Summer 2000,Summer 2000,Fall 2000,Fall 2000,Spring 2001,Spring 2001,Summer 2001,Summer 2001,Fall 2001,Fall 2001,Winter 2002,Winter 2002,Spring 2002,Spring 2002,Summer 2002,Summer 2002,Fall 2002,Fall 2002,Winter 2003,Winter 2003,Spring 2003,Spring 2003,Summer 2003,Summer 2003,Fall 2003,Fall 2003,Winter 2004,Winter 2004,Spring 2004,Spring 2004,Summer 2004,Summer 2004,Fall 2004,Fall 2004,Winter 2005,Winter 2005,Spring 2005,Spring 2005,Summer 2005,Summer 2005,Fall 2005,Fall 2005,Winter 2006,Winter 2006,Spring 2006,Spring 2006,Summer 2006,Summer 2006,Fall 2006,Fall 2006,Winter 2007,Winter 2007,Spring 2007,Spring 2007,Summer 2007,Summer 2007,Fall 2007,Fall 2007,Winter 2008,Winter 2008,Spring 2008,Spring 2008,Summer 2008,Summer 2008,Fall 2008,Fall 2008,Winter 2009,Winter 2009,Spring 2009,Spring 2009,Summer 2009,Summer 2009,Fall 2009,Fall 2009,Winter 2010,Winter 2010,Spring 2010,Spring 2010,Summer 2010,Summer 2010,Fall 2010,Fall 2010,Winter 2011,Winter 2011,Spring 2011,Spring 2011,Summer 2011,Summer 2011,Fall 2011,Fall 2011,Winter 2012,Winter 2012,Spring 2012,Spring 2012,Summer 2012,Summer 2012,Fall 2012,Fall 2012,Winter 2013,Winter 2013,Spring 2013,Spring 2013,Summer 2013,Summer 2013,Fall 2013,Fall 2013,Winter 2014,Winter 2014,Spring 2014,Spring 2014,Summer 2014,Summer 2014,Fall 2014,Fall 2014,Winter 2015,Winter 2015,Spring 2015,Spring 2015,Summer 2015,Summer 2015,Fall 2015,Fall 2015,Winter 2016,Winter 2016,Spring 2016,Spring 2016,Summer 2016,Summer 2016,Fall 2016,Fall 2016,Winter 2017,Winter 2017,Spring 2017,Spring 2017,Summer 2017,Summer 2017,Fall 2017,Fall 2017,Winter 2018,Winter 2018,Spring 2018,Spring 2018,Summer 2018,Summer 2018,Fall 2018,Fall 2018,Winter 2019,Winter 2019,Spring 2019,Spring 2019,Summer 2019,Summer 2019,Fall 2019,Fall 2019,Winter 2020,Winter 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023
College Name,Citizenship Status,Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%)
East LA,U.S. citizen,"2,154",67.69 %,"11,253",70.41 %,"9,380",66.71 %,"2,080",63.45 %,"9,724",64.79 %,"9,878",63.01 %,"1,620",55.16 %,"9,736",60.18 %,"9,878",60.60 %,"1,617",53.21 %,"9,794",60.91 %,"9,687",51.73 %,"1,696",39.55 %,"10,379",56.23 %,"10,885",53.00 %,"5,318",61.49 %,"11,841",59.55 %,"12,890",60.64 %,"7,862",67.86 %,"14,559",68.89 %,"16,454",69.14 %,"9,955",59.12 %,"18,879",73.25 %,"19,893",72.38 %,"11,634",70.54 %,"22,136",76.17 %,"21,658",71.44 %,"16,291",75.66 %,"22,035",73.73 %,,0.00 %,"23,878",71.74 %,"15,529",70.35 %,"21,545",73.03 %,"2,993",64.92 %,"18,758",69.31 %,"10,884",65.83 %,"17,802",71.67 %,"3,441",67.43 %,"18,934",70.48 %,"11,126",69.00 %,"18,671",72.68 %,"5,010",67.20 %,"19,058",70.84 %,"12,191",67.44 %,"19,071",75.25 %,"8,899",80.01 %,"22,745",78.55 %,"12,983",67.90 %,"23,185",79.04 %,"9,155",79.81 %,"21,736",76.46 %,"14,683",69.24 %,"24,394",79.65 %,"7,282",76.18 %,"24,522",80.43 %,"21,716",73.86 %,"29,101",80.73 %,"9,726",76.13 %,"28,288",80.21 %,"19,744",72.26 %,"30,895",80.24 %,"7,723",79.96 %,"29,578",80.32 %,"17,453",83.48 %,"29,606",81.45 %,"7,101",80.06 %,"29,171",81.29 %,"17,261",83.57 %,"31,124",81.07 %,"7,731",82.21 %,"29,346",81.86 %,"12,141",84.08 %,"31,113",81.62 %,"5,833",82.32 %,"29,967",81.08 %,"12,671",84.01 %,"31,044",80.88 %,"7,688",82.25 %,"28,071",81.58 %,"13,751",83.02 %,"30,253",82.31 %,"9,184",82.42 %,"29,713",82.65 %,"15,932",84.79 %,"31,869",82.62 %,"9,293",83.59 %,"30,559",82.58 %,"16,216",85.68 %,"32,311",82.34 %,"9,914",83.16 %,"32,075",79.67 %,"17,908",85.15 %,"31,139",81.09 %,"8,613",82.19 %,"29,989",81.75 %,"15,857",81.94 %,"33,486",80.34 %,"8,194",81.26 %,"30,165",80.23 %,"14,081",82.52 %,"31,909",79.60 %,"8,293",80.64 %,"29,859",80.59 %,"13,671",81.37 %,"27,268",82.81 %,"8,817",82.71 %,"26,234",81.76 %,"14,025",79.30 %,"25,553",81.86 %,"6,163",81.28 %,"22,780",82.20 %,"13,063",71.04 %,"24,273",81.25 %,"7,931",81.82 %,"24,716",81.38 %,,0.00 %
East LA,Permanent Resident,668,20.99 %,"3,239",20.27 %,"3,413",24.27 %,858,26.17 %,"4,131",27.52 %,"4,548",29.01 %,978,33.30 %,"5,396",33.36 %,"5,502",33.75 %,"1,146",37.71 %,"5,436",33.81 %,"5,654",30.19 %,"1,058",24.67 %,"4,920",26.66 %,"4,670",22.74 %,"1,611",18.63 %,"4,696",23.62 %,"4,589",21.59 %,"1,931",16.67 %,"4,324",20.46 %,"4,202",17.66 %,"2,125",12.62 %,"4,078",15.82 %,"3,903",14.20 %,"2,135",12.95 %,"3,981",13.70 %,"3,809",12.56 %,"2,348",10.91 %,"4,048",13.55 %,,0.00 %,"4,200",12.62 %,"2,593",11.75 %,"4,277",14.50 %,587,12.73 %,"3,889",14.37 %,"2,442",14.77 %,"3,785",15.24 %,778,15.25 %,"3,649",13.58 %,"2,021",12.53 %,"3,446",13.41 %,"1,072",14.38 %,"3,368",12.52 %,"2,005",11.09 %,"3,280",12.94 %,"1,100",9.89 %,"3,049",10.53 %,"1,884",9.85 %,"3,048",10.39 %,"1,033",9.01 %,"2,988",10.51 %,"1,932",9.11 %,"3,094",10.10 %,"1,090",11.40 %,"2,854",9.36 %,"2,073",7.05 %,"3,105",8.61 %,"1,272",9.96 %,"3,027",8.58 %,"1,578",5.77 %,"2,972",7.72 %,713,7.38 %,"2,665",7.24 %,"1,568",7.50 %,"2,750",7.57 %,762,8.59 %,"2,602",7.25 %,"1,580",7.65 %,"2,772",7.22 %,751,7.99 %,"2,694",7.52 %,"1,115",7.72 %,"2,573",6.75 %,591,8.34 %,"2,448",6.62 %,971,6.44 %,"2,364",6.16 %,670,7.17 %,"2,263",6.58 %,"1,036",6.25 %,"2,162",5.88 %,638,5.73 %,"2,056",5.72 %,955,5.08 %,"2,099",5.44 %,661,5.95 %,"2,072",5.60 %,950,5.02 %,"2,213",5.64 %,631,5.29 %,"2,285",5.68 %,"1,205",5.73 %,"2,336",6.08 %,711,6.78 %,"2,115",5.77 %,"1,013",5.23 %,"2,139",5.13 %,650,6.45 %,"1,876",4.99 %,886,5.19 %,"2,050",5.11 %,655,6.37 %,"1,861",5.02 %,"1,125",6.70 %,"1,708",5.19 %,677,6.35 %,"1,656",5.16 %,936,5.29 %,"1,418",4.54 %,493,6.50 %,"1,286",4.64 %,642,3.49 %,"1,114",3.73 %,376,3.88 %,"1,041",3.43 %,,0.00 %
East LA,Temporary Resident,52,1.63 %,230,1.44 %,199,1.42 %,51,1.56 %,176,1.17 %,212,1.35 %,44,1.50 %,208,1.29 %,200,1.23 %,60,1.97 %,177,1.10 %,202,1.08 %,31,0.72 %,155,0.84 %,155,0.75 %,54,0.62 %,154,0.77 %,154,0.72 %,65,0.56 %,154,0.73 %,139,0.58 %,72,0.43 %,125,0.49 %,132,0.48 %,47,0.28 %,110,0.38 %,111,0.37 %,55,0.26 %,141,0.47 %,,0.00 %,127,0.38 %,76,0.34 %,119,0.40 %,14,0.30 %,78,0.29 %,51,0.31 %,78,0.31 %,16,0.31 %,64,0.24 %,47,0.29 %,66,0.26 %,22,0.30 %,55,0.20 %,30,0.17 %,45,0.18 %,14,0.13 %,38,0.13 %,23,0.12 %,36,0.12 %,14,0.12 %,36,0.13 %,18,0.08 %,34,0.11 %,9,0.09 %,24,0.08 %,27,0.09 %,32,0.09 %,12,0.09 %,38,0.11 %,12,0.04 %,26,0.07 %,6,0.06 %,27,0.07 %,27,0.13 %,28,0.08 %,3,0.03 %,30,0.08 %,19,0.09 %,25,0.07 %,8,0.09 %,22,0.06 %,16,0.11 %,30,0.08 %,12,0.17 %,41,0.11 %,34,0.23 %,63,0.16 %,8,0.09 %,91,0.26 %,59,0.36 %,110,0.30 %,29,0.26 %,120,0.33 %,49,0.26 %,115,0.30 %,38,0.34 %,97,0.26 %,48,0.25 %,127,0.32 %,42,0.35 %,109,0.27 %,57,0.27 %,158,0.41 %,57,0.54 %,177,0.48 %,101,0.52 %,235,0.56 %,70,0.69 %,189,0.50 %,99,0.58 %,234,0.58 %,65,0.63 %,183,0.49 %,92,0.55 %,176,0.53 %,69,0.65 %,179,0.56 %,84,0.47 %,168,0.54 %,54,0.71 %,149,0.54 %,76,0.41 %,123,0.41 %,56,0.58 %,107,0.35 %,,0.00 %
East LA,Refugee / Asylee,46,1.45 %,162,1.01 %,150,1.07 %,36,1.10 %,152,1.01 %,142,0.91 %,46,1.57 %,121,0.75 %,112,0.69 %,22,0.72 %,84,0.52 %,89,0.48 %,21,0.49 %,97,0.53 %,102,0.50 %,32,0.37 %,101,0.51 %,103,0.48 %,38,0.33 %,98,0.46 %,83,0.35 %,48,0.29 %,91,0.35 %,80,0.29 %,54,0.33 %,94,0.32 %,91,0.30 %,66,0.31 %,120,0.40 %,,0.00 %,172,0.52 %,111,0.50 %,209,0.71 %,32,0.69 %,230,0.85 %,183,1.11 %,257,1.03 %,61,1.20 %,250,0.93 %,169,1.05 %,294,1.14 %,132,1.77 %,309,1.15 %,226,1.25 %,330,1.30 %,145,1.30 %,298,1.03 %,243,1.27 %,362,1.23 %,159,1.39 %,305,1.07 %,195,0.92 %,302,0.99 %,135,1.41 %,252,0.83 %,182,0.62 %,245,0.68 %,121,0.95 %,230,0.65 %,96,0.35 %,223,0.58 %,56,0.58 %,169,0.46 %,123,0.59 %,222,0.61 %,82,0.92 %,194,0.54 %,120,0.58 %,213,0.55 %,58,0.62 %,208,0.58 %,100,0.69 %,201,0.53 %,48,0.68 %,193,0.52 %,95,0.63 %,198,0.52 %,76,0.81 %,202,0.59 %,96,0.58 %,192,0.52 %,66,0.59 %,182,0.51 %,86,0.46 %,171,0.44 %,66,0.59 %,159,0.43 %,87,0.46 %,134,0.34 %,52,0.44 %,139,0.35 %,63,0.30 %,36,0.09 %,17,0.16 %,51,0.14 %,38,0.20 %,94,0.23 %,32,0.32 %,81,0.22 %,46,0.27 %,115,0.29 %,38,0.37 %,108,0.29 %,71,0.42 %,125,0.38 %,65,0.61 %,162,0.50 %,84,0.47 %,140,0.45 %,57,0.75 %,112,0.40 %,72,0.39 %,117,0.39 %,47,0.48 %,101,0.33 %,,0.00 %
East LA,Student Visa (F-1 or M-1 visa),136,4.27 %,485,3.03 %,395,2.81 %,109,3.33 %,323,2.15 %,334,2.13 %,96,3.27 %,261,1.61 %,197,1.21 %,33,1.09 %,209,1.30 %,233,1.24 %,78,1.82 %,271,1.47 %,327,1.59 %,166,1.92 %,310,1.56 %,356,1.67 %,242,2.09 %,358,1.69 %,363,1.53 %,208,1.24 %,374,1.45 %,380,1.38 %,229,1.39 %,399,1.37 %,423,1.40 %,296,1.37 %,429,1.44 %,,0.00 %,442,1.33 %,307,1.39 %,443,1.50 %,93,2.02 %,441,1.63 %,331,2.00 %,379,1.53 %,62,1.21 %,351,1.31 %,198,1.23 %,289,1.12 %,84,1.13 %,294,1.09 %,166,0.92 %,256,1.01 %,86,0.77 %,287,0.99 %,198,1.04 %,303,1.03 %,92,0.80 %,347,1.22 %,200,0.94 %,418,1.36 %,188,1.97 %,512,1.68 %,308,1.05 %,620,1.72 %,291,2.28 %,666,1.89 %,273,1.00 %,710,1.84 %,236,2.44 %,781,2.12 %,332,1.59 %,829,2.28 %,225,2.54 %,860,2.40 %,345,1.67 %,839,2.19 %,235,2.50 %,840,2.34 %,316,2.19 %,733,1.92 %,226,3.19 %,767,2.08 %,238,1.58 %,714,1.86 %,227,2.43 %,748,2.17 %,237,1.43 %,709,1.93 %,222,1.99 %,761,2.12 %,235,1.25 %,757,1.96 %,250,2.25 %,814,2.20 %,261,1.38 %,809,2.06 %,217,1.82 %,834,2.07 %,243,1.16 %,752,1.96 %,239,2.28 %,746,2.03 %,221,1.14 %,633,1.52 %,172,1.71 %,615,1.64 %,170,1.00 %,495,1.23 %,123,1.20 %,464,1.25 %,168,1.00 %,303,0.92 %,102,0.96 %,271,0.84 %,80,0.45 %,179,0.57 %,34,0.45 %,176,0.64 %,47,0.26 %,144,0.48 %,34,0.35 %,175,0.58 %,,0.00 %
East LA,Other Status,124,3.90 %,605,3.79 %,519,3.69 %,141,4.30 %,503,3.35 %,562,3.58 %,152,5.18 %,454,2.81 %,412,2.53 %,161,5.30 %,369,2.29 %,396,2.11 %,109,2.54 %,453,2.45 %,490,2.39 %,273,3.16 %,613,3.08 %,672,3.16 %,331,2.86 %,761,3.60 %,804,3.38 %,"3,057",18.15 %,"1,242",4.82 %,933,3.39 %,487,2.95 %,861,2.96 %,911,3.01 %,514,2.39 %,"1,014",3.39 %,,0.00 %,"1,116",3.35 %,888,4.02 %,"1,444",4.89 %,230,4.99 %,"1,312",4.85 %,799,4.83 %,"1,379",5.55 %,271,5.31 %,"1,351",5.03 %,777,4.82 %,"1,406",5.47 %,490,6.57 %,"1,372",5.10 %,800,4.43 %,"1,514",5.97 %,526,4.73 %,"1,429",4.93 %,850,4.45 %,"1,522",5.19 %,512,4.46 %,"1,521",5.35 %,924,4.36 %,"1,661",5.42 %,572,5.98 %,"1,527",5.01 %,"1,162",3.95 %,"1,812",5.03 %,767,6.00 %,"1,896",5.38 %,931,3.41 %,"1,769",4.59 %,377,3.90 %,"1,644",4.46 %,825,3.95 %,"1,723",4.74 %,423,4.77 %,"1,689",4.71 %,870,4.21 %,"1,759",4.58 %,360,3.83 %,"1,683",4.69 %,702,4.86 %,"1,839",4.82 %,369,5.21 %,"1,747",4.73 %,871,5.77 %,"1,855",4.83 %,506,5.41 %,"1,822",5.29 %,"1,050",6.34 %,"2,000",5.44 %,568,5.10 %,"2,073",5.77 %,"1,104",5.88 %,"2,182",5.66 %,652,5.86 %,"2,183",5.90 %,"1,093",5.78 %,"2,689",6.85 %,663,5.56 %,"2,636",6.55 %,"1,279",6.08 %,"2,532",6.59 %,640,6.11 %,"2,349",6.40 %,"1,010",5.22 %,"2,492",5.98 %,623,6.18 %,"2,196",5.84 %,"1,096",6.42 %,"2,377",5.93 %,605,5.88 %,"2,081",5.62 %,932,5.55 %,"1,590",4.83 %,544,5.10 %,"1,378",4.29 %,670,3.79 %,"1,311",4.20 %,397,5.24 %,"1,071",3.86 %,569,3.09 %,"1,142",3.82 %,414,4.27 %,"1,013",3.34 %,,0.00 %
East LA,Status Unknown / Uncollected,2,0.06 %,8,0.05 %,5,0.04 %,3,0.09 %,,0.00 %,1,0.01 %,1,0.03 %,1,0.01 %,,0.00 %,,0.00 %,10,0.06 %,"2,464",13.16 %,"1,295",30.20 %,"2,182",11.82 %,"3,910",19.04 %,"1,194",13.81 %,"2,168",10.90 %,"2,491",11.72 %,"1,116",9.63 %,880,4.16 %,"1,753",7.37 %,"1,374",8.16 %,984,3.82 %,"2,163",7.87 %,"1,906",11.56 %,"1,481",5.10 %,"3,313",10.93 %,"1,961",9.11 %,"2,098",7.02 %,,0.00 %,"3,348",10.06 %,"2,569",11.64 %,"1,463",4.96 %,661,14.34 %,"2,357",8.71 %,"1,843",11.15 %,"1,159",4.67 %,474,9.29 %,"2,264",8.43 %,"1,786",11.08 %,"1,519",5.91 %,645,8.65 %,"2,447",9.10 %,"2,660",14.71 %,846,3.34 %,352,3.16 %,"1,111",3.84 %,"2,941",15.38 %,879,3.00 %,506,4.41 %,"1,495",5.26 %,"3,254",15.34 %,724,2.36 %,283,2.96 %,797,2.61 %,"3,932",13.37 %,"1,132",3.14 %,586,4.59 %,"1,122",3.18 %,"4,691",17.17 %,"1,909",4.96 %,547,5.66 %,"1,963",5.33 %,579,2.77 %,"1,191",3.28 %,274,3.09 %,"1,341",3.74 %,459,2.22 %,"1,659",4.32 %,261,2.78 %,"1,054",2.94 %,50,0.35 %,"1,629",4.27 %,7,0.10 %,"1,796",4.86 %,203,1.35 %,"2,146",5.59 %,172,1.84 %,"1,214",3.53 %,335,2.02 %,"1,329",3.62 %,436,3.91 %,"1,045",2.91 %,429,2.28 %,"1,380",3.58 %,158,1.42 %,"1,123",3.03 %,271,1.43 %,957,2.44 %,403,3.38 %,"2,181",5.42 %,277,1.32 %,"1,449",3.77 %,202,1.93 %,"1,257",3.43 %,"1,113",5.75 %,"2,600",6.24 %,343,3.40 %,"2,475",6.58 %,685,4.01 %,"2,906",7.25 %,505,4.91 %,"2,494",6.73 %,742,4.42 %,"1,758",5.34 %,386,3.62 %,"2,205",6.87 %,"1,808",10.22 %,"2,446",7.84 %,384,5.06 %,"2,139",7.72 %,"3,920",21.32 %,"2,963",9.92 %,835,8.61 %,"3,218",10.60 %,,0.00 %
Glendale,U.S. citizen,"3,557",47.62 %,"10,113",47.59 %,"9,853",46.44 %,"1,186",48.04 %,"9,374",46.79 %,"8,974",45.63 %,"2,464",43.60 %,"8,465",44.55 %,"8,445",43.95 %,745,14.77 %,"7,761",42.71 %,"8,079",42.31 %,"2,449",44.38 %,"8,490",40.05 %,"8,818",41.34 %,"3,069",48.10 %,"10,219",46.52 %,"11,373",47.67 %,"4,462",49.11 %,"10,970",50.43 %,"10,604",49.95 %,"4,327",47.34 %,"11,006",49.73 %,"10,707",48.42 %,"4,732",49.19 %,"11,278",47.13 %,"11,510",47.74 %,"5,227",48.48 %,"12,332",50.20 %,"4,774",46.94 %,"12,197",50.27 %,"5,555",51.87 %,"12,531",51.43 %,"4,789",52.88 %,"12,215",51.60 %,"4,481",51.46 %,"11,637",52.07 %,"4,775",51.85 %,"11,494",52.32 %,"4,968",53.30 %,"11,680",52.58 %,"4,809",52.68 %,"11,578",52.31 %,"6,115",53.33 %,"11,779",53.71 %,"5,616",53.61 %,"11,883",54.41 %,"6,676",56.39 %,"12,191",54.95 %,"5,593",53.74 %,"11,842",54.10 %,"7,009",58.23 %,"13,193",58.98 %,"6,272",56.49 %,"13,251",58.27 %,"7,657",57.32 %,"13,780",58.36 %,"6,223",54.65 %,"13,706",57.36 %,"7,635",56.62 %,"14,140",58.42 %,"4,868",52.05 %,"13,882",57.86 %,"5,104",51.59 %,"12,634",55.81 %,"3,304",44.55 %,"12,754",56.40 %,"3,980",60.50 %,"12,540",57.24 %,199,85.04 %,"12,440",57.12 %,643,33.82 %,"12,262",58.28 %,372,90.07 %,"12,648",58.70 %,651,32.86 %,"12,381",59.15 %,"3,775",54.89 %,"11,881",58.82 %,"4,840",59.99 %,"11,897",59.43 %,"4,288",54.55 %,"11,653",58.97 %,"5,148",60.70 %,"12,348",61.00 %,"4,823",57.85 %,"11,853",59.86 %,"5,243",60.08 %,"12,193",60.80 %,"5,169",56.90 %,"11,469",59.27 %,"5,428",59.63 %,"11,626",60.06 %,"5,069",56.21 %,"10,915",59.53 %,"5,515",61.49 %,"11,091",60.99 %,"4,990",57.61 %,"10,372",59.98 %,"5,529",62.87 %,"10,891",61.99 %,"4,680",57.64 %,"10,005",61.35 %,"6,113",66.15 %,"10,117",66.27 %,"4,347",61.84 %,"9,248",64.15 %,"4,986",64.46 %,"9,075",64.52 %,"4,110",57.96 %,"8,280",60.68 %,"4,518",57.64 %,"8,310",60.69 %,"4,105",52.60 %,"8,413",57.04 %,"5,002",50.99 %
Glendale,Permanent Resident,"2,127",28.47 %,"5,620",26.45 %,"5,738",27.05 %,779,31.55 %,"5,531",27.61 %,"5,633",28.64 %,"1,949",34.48 %,"5,915",31.13 %,"5,968",31.06 %,"1,012",20.06 %,"5,949",32.74 %,"6,111",32.00 %,"1,970",35.70 %,"6,280",29.62 %,"6,162",28.88 %,"2,127",33.34 %,"6,991",31.83 %,"7,313",30.65 %,"2,870",31.59 %,"6,216",28.58 %,"6,008",28.30 %,"2,695",29.49 %,"5,968",26.97 %,"5,747",25.99 %,"2,506",26.05 %,"5,671",23.70 %,"5,432",22.53 %,"2,633",24.42 %,"5,249",21.37 %,"2,139",21.03 %,"5,010",20.65 %,"2,347",21.92 %,"4,819",19.78 %,"1,830",20.21 %,"4,598",19.42 %,"1,789",20.55 %,"4,126",18.46 %,"1,681",18.25 %,"4,022",18.31 %,"1,694",18.17 %,"3,916",17.63 %,"1,572",17.22 %,"3,931",17.76 %,"2,072",18.07 %,"3,831",17.47 %,"1,859",17.75 %,"3,867",17.71 %,"2,072",17.50 %,"3,905",17.60 %,"1,802",17.31 %,"3,909",17.86 %,"2,260",18.78 %,"4,175",18.66 %,"2,202",19.83 %,"4,273",18.79 %,"2,472",18.51 %,"4,256",18.02 %,"2,200",19.32 %,"4,323",18.09 %,"2,529",18.76 %,"4,428",18.30 %,"1,858",19.87 %,"4,520",18.84 %,"1,508",15.24 %,"4,064",17.95 %,"1,421",19.16 %,"4,303",19.03 %,"1,273",19.35 %,"4,502",20.55 %,21,8.97 %,"4,628",21.25 %,611,32.14 %,"4,496",21.37 %,17,4.12 %,"4,573",21.22 %,627,31.65 %,"4,592",21.94 %,"1,674",24.34 %,"4,452",22.04 %,"1,744",21.62 %,"4,482",22.39 %,"1,916",24.38 %,"4,376",22.14 %,"1,808",21.32 %,"4,226",20.88 %,"1,926",23.10 %,"4,259",21.51 %,"1,844",21.13 %,"4,149",20.69 %,"2,154",23.71 %,"4,114",21.26 %,"1,911",20.99 %,"4,085",21.10 %,"2,174",24.11 %,"4,005",21.84 %,"1,883",20.99 %,"3,961",21.78 %,"2,114",24.41 %,"3,917",22.65 %,"1,877",21.34 %,"3,693",21.02 %,"1,811",22.30 %,"3,352",20.55 %,"1,745",18.88 %,"2,883",18.89 %,"1,443",20.53 %,"2,844",19.73 %,"1,297",16.77 %,"2,556",18.17 %,"1,390",19.60 %,"2,518",18.45 %,"1,211",15.45 %,"2,263",16.53 %,"1,255",16.08 %,"2,273",15.41 %,"1,227",12.51 %
