,,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023
College Name,Special Characteristic,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES,Head Count,Credit Enrollment Count,Credit FTES,Non-Credit Enrollment Count,Non-Credit FTES
Pasadena,A2MEND - African American Male Education Network and Development           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,1.50,0,0.00,24,88,11.67,6,0.02,25,95,12.98,0,0.00,9,15,1.89,1,0.00
Pasadena,"ASEM - Achievement in a Science, Engineering, or Mathematics               ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,141,23.78,5,0.01,,,,,,82,343,52.66,2,0.00,119,474,75.02,7,0.07,,,,,,91,359,54.32,10,0.20,53,69,11.49,1,0.11,166,597,95.12,16,0.29,41,52,8.17,2,0.08,71,253,43.20,0,0.00,70,107,17.35,4,0.03,86,289,49.84,0,0.00,61,78,10.98,0,0.00,51,166,31.04,0,0.00,36,44,8.32,0,0.00,55,187,33.53,0,0.00,20,27,3.84,0,0.00,63,219,40.70,6,0.03,42,55,9.52,0,0.00,59,191,36.21,0,0.00,,,,,,101,342,56.91,0,0.00,,,,,,99,341,54.76,0,0.00,,,,,,60,209,36.75,5,0.02,92,320,55.56,16,0.14,,,,,,46,160,25.45,10,0.04,15,49,8.77,0,0.00,,,,,
Pasadena,CAFYES - Cooperating Agencies Foster Youth Educational Support             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,290,36.02,4,0.02,,,,,,76,242,31.22,0,0.00,37,51,6.20,0,0.00,85,273,36.81,0,0.00,,,,,,74,232,33.03,0,0.00,32,42,5.77,0,0.00,87,289,36.14,6,0.03,,,,,,77,257,32.83,0,0.00,40,56,6.63,0,0.00,74,224,30.84,0,0.00,1,1,0.10,0,0.00,51,140,19.12,0,0.00,,,,,,52,163,20.11,3,0.03,49,135,17.19,2,0.00,,,,,,97,269,34.41,7,0.01,87,251,35.47,0,0.00,,,,,
Pasadena,CalWORKs - California Work Opportunity & Responsibility to Kids            ,250,673,91.51,53,3.92,247,754,91.43,61,5.16,123,208,25.80,28,1.37,181,598,76.61,10,0.73,202,683,89.49,42,3.35,129,246,31.63,30,1.17,201,559,74.00,124,9.75,191,528,72.45,122,8.78,128,183,24.13,51,3.77,175,474,67.19,89,5.87,165,459,62.07,102,7.40,121,182,22.54,52,5.06,182,508,69.51,66,4.46,89,107,13.52,14,1.32,168,447,61.56,100,5.44,83,100,12.15,23,1.46,187,541,70.85,72,4.84,94,111,14.07,18,0.84,159,480,64.46,38,3.53,65,89,11.24,1,0.01,130,366,47.98,31,1.88,75,95,10.75,6,0.12,121,347,47.36,33,2.40,52,73,8.85,0,0.00,121,377,48.41,31,1.85,81,97,11.06,3,0.20,113,327,41.19,25,1.15,36,55,8.36,1,0.16,70,217,27.85,4,0.37,33,40,5.13,2,0.13,50,169,21.90,1,0.13,35,40,5.62,10,0.85,58,179,22.31,24,1.15,65,194,24.31,29,2.66,55,91,10.82,14,1.33,117,322,42.16,51,3.35,111,270,35.21,72,7.09,107,126,15.97,87,8.97
Pasadena,CARE - Cooperative Agencies Resources for Education                        ,15,64,6.86,1,0.01,3,13,1.41,0,0.00,,,,,,2,6,0.76,0,0.00,3,14,1.66,0,0.00,9,17,2.63,1,0.02,12,44,6.43,2,0.08,8,37,4.68,7,0.06,,,,,,20,71,9.97,10,0.07,25,92,12.00,11,0.11,,,,,,8,31,4.30,2,0.03,,,,,,33,113,15.01,13,0.05,2,3,0.30,1,0.00,33,109,14.45,11,0.03,,,,,,27,96,12.68,0,0.00,,,,,,25,86,11.99,1,0.00,,,,,,23,90,11.93,0,0.00,4,5,0.57,0,0.00,13,44,5.35,4,0.06,,,,,,27,100,11.93,0,0.00,5,7,0.93,0,0.00,12,42,5.14,0,0.00,,,,,,18,64,8.31,0,0.00,3,5,0.58,2,0.00,14,40,5.50,0,0.00,11,37,4.78,0,0.00,6,13,1.46,0,0.00,11,43,4.67,0,0.00,13,48,5.84,0,0.00,6,11,1.40,0,0.00
Pasadena,DSPS - Disabled Students Programs & Services                               ,652,"1,852",238.16,23,2.47,615,"1,828",231.19,27,2.43,311,513,63.41,12,0.65,713,"2,113",263.73,5,0.43,655,"1,895",239.38,28,2.22,261,400,51.37,40,2.15,763,"2,146",285.23,187,5.89,719,"1,994",268.04,204,7.18,327,494,60.98,30,2.28,849,"2,484",322.09,156,6.82,747,"2,050",274.91,172,6.35,575,902,112.17,62,3.46,"1,129","3,211",415.72,252,10.19,236,294,36.22,17,1.23,836,"2,329",317.57,167,7.13,313,389,49.64,32,1.67,949,"2,715",358.31,163,6.31,256,304,37.95,39,2.14,903,"2,367",321.89,146,8.67,311,384,47.97,25,1.79,996,"2,676",368.37,141,8.26,316,362,45.56,29,0.43,901,"2,339",327.51,121,8.10,362,429,53.13,37,2.84,"1,063","2,962",393.57,257,10.13,352,419,52.21,39,2.94,808,"2,085",279.24,120,3.36,249,351,48.53,4,0.02,663,"1,866",256.50,17,1.41,331,452,62.59,7,0.35,878,"2,419",340.20,19,1.37,467,619,83.70,55,3.75,"1,077","2,968",392.73,212,9.87,717,"1,917",254.15,154,7.46,612,957,121.36,47,4.27,973,"2,704",365.28,204,7.94,"1,229","3,256",447.08,195,13.13,672,"1,082",141.15,90,6.48
Pasadena,Economically Disadvantaged                                                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,686","10,156","1,333.42",323,22.79,"17,509","50,281","6,801.42","1,315",93.54,"7,852","10,296","1,321.72",292,5.67,"16,208","45,117","6,213.73","1,061",79.16,,,,,,,,,,,"7,837","10,520","1,295.54",363,18.94,"15,415","42,676","5,670.48",819,39.90,"8,109","12,010","1,579.99",37,3.70,"14,768","42,444","5,742.59",332,25.28,"7,578","10,677","1,412.42",458,25.02,"13,089","36,504","5,024.37",131,11.45,"8,165","11,556","1,498.74",591,41.91,"12,372","33,271","4,513.43","1,623",104.66,"10,576","28,252","3,778.09","1,533",95.64,"7,207","11,421","1,506.25","1,055",102.30,"12,960","34,267","4,603.05","2,702",166.17,"11,805","30,611","4,168.10","2,668",215.67,"8,002","13,030","1,702.56","1,843",150.96
Pasadena,EOPS - Extended Opportunity Programs & Services                            ,655,"2,646",349.06,2,0.12,414,"1,707",213.54,1,0.05,272,616,80.07,0,0.00,793,"2,847",375.14,2,0.08,535,"1,957",261.90,7,0.34,285,531,72.75,37,0.74,574,"2,109",287.53,145,2.46,642,"2,318",314.40,179,3.09,101,197,25.51,0,0.00,693,"2,685",348.03,58,0.84,643,"2,494",334.69,81,1.07,123,215,27.34,2,0.01,602,"2,260",305.34,59,0.61,,,,,,723,"2,633",361.52,69,0.80,206,307,39.06,7,0.19,651,"2,404",324.07,43,0.38,,,,,,748,"2,636",366.81,9,0.69,6,8,0.99,0,0.00,860,"3,093",430.08,26,1.37,,,,,,852,"3,123",437.50,5,0.29,3,3,0.31,0,0.00,913,"3,411",461.10,93,1.83,,,,,,739,"2,701",368.39,1,0.01,166,270,36.81,0,0.00,702,"2,629",369.61,0,0.00,,,,,,676,"2,381",339.04,0,0.00,127,192,26.29,2,0.01,701,"2,569",342.86,44,0.32,605,"2,214",305.98,51,0.26,181,371,49.43,4,0.12,623,"2,257",316.23,65,0.43,684,"2,559",359.80,16,0.86,280,603,78.45,13,0.30
Pasadena,First Generation                                                           ,,,,,,,,,,,,,,,,,,,,,"1,988","4,503",545.19,138,12.58,832,"1,395",176.05,91,3.61,"1,352","3,407",460.52,220,8.86,"1,166","3,055",410.45,184,6.82,531,835,111.28,27,1.63,898,"2,389",322.17,65,2.81,789,"2,028",279.87,66,2.16,366,577,77.23,11,0.54,636,"1,629",217.99,36,1.46,225,289,39.27,6,0.27,532,"1,323",179.28,39,0.93,200,253,32.73,7,0.14,420,"1,008",139.81,21,0.82,155,199,27.38,6,0.09,361,818,114.16,24,1.05,141,179,25.43,8,0.38,290,638,89.05,16,0.83,116,152,20.05,4,0.04,"9,732","26,209","3,583.92",428,32.40,"4,682","6,135",793.67,128,9.23,"10,608","29,881","3,901.38",725,34.42,"4,769","6,406",784.10,145,8.87,"9,527","25,925","3,414.54",263,9.17,"4,548","6,797",880.27,5,0.32,"7,782","21,947","2,957.96",46,3.61,"3,767","5,475",715.10,68,3.38,"6,461","17,532","2,405.53",16,0.99,"2,700","3,780",515.15,97,6.17,"4,844","12,147","1,675.96",248,12.57,"3,802","9,624","1,285.16",227,9.45,"2,143","3,416",455.85,75,5.77,"3,437","8,230","1,128.49",247,10.70,"2,765","6,541",911.67,205,14.03,"1,487","2,322",317.09,130,8.97
