,,,Annual 1992-1993,Annual 1992-1993,Annual 1992-1993,Annual 1993-1994,Annual 1993-1994,Annual 1993-1994,Annual 1994-1995,Annual 1994-1995,Annual 1994-1995,Annual 1995-1996,Annual 1995-1996,Annual 1995-1996,Annual 1996-1997,Annual 1996-1997,Annual 1996-1997,Annual 1997-1998,Annual 1997-1998,Annual 1997-1998,Annual 1998-1999,Annual 1998-1999,Annual 1998-1999,Annual 1999-2000,Annual 1999-2000,Annual 1999-2000,Annual 2000-2001,Annual 2000-2001,Annual 2000-2001,Annual 2001-2002,Annual 2001-2002,Annual 2001-2002,Annual 2002-2003,Annual 2002-2003,Annual 2002-2003,Annual 2003-2004,Annual 2003-2004,Annual 2003-2004,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023
College Name,Award Type,Award Type Description,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount
Pasadena,California College Promise Grant,California College Promise - Method A-? (unknown base),361,361,"$68,430",594,594,"$111,637",113,113,"$35,495",286,286,"$51,887",287,287,"$47,676",308,308,"$53,483",260,260,"$43,941",356,356,"$50,184","1,309","1,309","$241,277","1,292","1,292","$217,321","1,132","2,108","$204,738",673,"1,169","$129,859",799,"1,502","$282,123",912,"1,737","$322,803",792,"1,477","$246,448",170,334,"$45,836",24,52,"$8,076",23,47,"$7,475",61,112,"$21,148",77,118,"$25,265",69,122,"$42,453",114,195,"$50,277",96,161,"$43,444",129,191,"$53,123",135,231,"$65,096",160,246,"$65,938",101,175,"$43,830",79,137,"$31,855",40,71,"$20,217",30,46,"$10,143",31,51,"$12,305"
Pasadena,California College Promise Grant,California College Promise - Method A-1 based on TANF recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,339,"$67,804",100,203,"$36,783",44,44,"$11,542",33,33,"$16,787",,,,,,,,,,,,,1,1,$230,,,,,,,,,,,,,,,
Pasadena,California College Promise Grant,California College Promise - Method A-2 based on SSI recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,432,"$75,909",142,262,"$46,727",73,73,"$17,680",51,51,"$19,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasadena,California College Promise Grant,California College Promise - Method A-3 based on general assistance recipient status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,80,"$16,075",39,71,"$13,925",12,12,"$1,828",15,15,"$6,905",,,,33,62,"$24,795",,,,,,,3,10,"$1,886",,,,,,,,,,,,,,,
Pasadena,California College Promise Grant,California College Promise - Method B based on income standards,928,928,"$166,155","3,333","3,333","$715,355","2,009","2,009","$506,693","4,433","4,433","$900,204","6,918","6,918","$1,570,867","7,544","7,544","$1,741,923","7,934","7,934","$1,694,598","7,367","7,367","$1,446,332","5,647","5,647","$1,020,827","6,512","6,512","$1,147,569","6,600","12,292","$1,277,004","5,602","11,701","$1,567,423","5,426","10,700","$2,120,822","5,031","9,975","$2,022,384","4,827","9,388","$1,649,412","3,686","7,280","$1,159,416","3,097","6,175","$956,842","2,321","4,258","$857,265","1,471","3,021","$632,020",640,640,"$197,669",654,654,"$290,142",523,923,"$312,562",766,"1,392","$499,670","12,900","21,998","$10,083,296","14,520","31,156","$11,880,007","13,436","28,961","$10,851,372","12,755","27,114","$10,258,420","11,915","24,925","$8,898,976","10,872","22,759","$8,589,603","9,947","16,062","$6,101,248","8,630","14,745","$6,184,939"
Pasadena,California College Promise Grant,California College Promise - Method C based on financial need,"2,541","2,541","$491,445","2,945","2,945","$966,757","3,382","3,382","$1,165,673","3,826","3,826","$1,256,386","1,871","1,871","$580,783","1,714","1,714","$479,642","1,515","1,515","$368,588","1,741","1,741","$373,333","3,006","3,006","$615,710","3,023","3,023","$697,640","4,798","8,101","$932,150","7,268","16,214","$2,467,610","8,396","19,645","$4,448,567","8,565","20,136","$4,642,417","8,710","20,451","$4,171,500","9,034","20,434","$3,703,468","11,984","26,690","$4,736,664","12,918","27,575","$6,514,792","15,533","33,428","$7,872,939","13,598","13,599","$4,906,383","13,948","13,948","$7,551,117","18,748","35,444","$14,896,118","20,776","40,448","$16,854,643","11,289","17,669","$6,643,762","7,274","14,987","$5,540,442","6,872","14,937","$5,567,229","7,124","15,126","$5,635,759","7,433","15,321","$5,432,968","7,584","16,133","$5,998,584","6,202","10,711","$4,261,373","6,149","10,854","$4,559,121"
Pasadena,California College Promise Grant,California College Promise (AB19) Fee Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,874,"$565,001",705,"1,170","$717,255",753,"1,279","$820,617",699,"1,138","$729,565",786,"1,322","$860,131"
Pasadena,California College Promise Grant,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$130,2,6,$780,3,9,"$1,758",3,5,$958,5,12,"$2,580",4,4,"$1,559",4,4,"$2,912",1,1,$230,,,,1,2,$520,,,,,,,,,,,,,,,,,,,1,2,$828
Pasadena,California College Promise Grant,Fee Waiver – Dependent (surviving spouse and children) of deceased or disabled member of CA National Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,$460,2,3,$500,5,8,"$1,875",2,5,"$1,230",,,,2,2,$552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasadena,California College Promise Grant,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,$846,19,34,"$6,656",26,54,"$9,048",24,40,"$7,650",35,71,"$16,260",31,31,"$12,512",31,31,"$17,439",26,51,"$21,912",,,,36,55,"$25,402",42,95,"$40,537",40,96,"$39,630",46,102,"$39,882",41,92,"$31,349",31,61,"$25,392",25,39,"$16,100",25,44,"$21,321"
Pasadena,California College Promise Grant,"Fee Waiver – Dependent of (surviving spouse and children) of deceased victims of September 11, 2001 terrorist attack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,"$1,334",,,,,,,,,,,,,,,,,,
Pasadena,Grants,Academic Competitiveness Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,25,"$11,025",21,33,"$14,575",82,122,"$49,325",418,747,"$289,564",261,436,"$158,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
