,,,Fall 2022,Fall 2022,Fall 2022,Fall 2022
College Name,Education Status,Education Status Sub Category,Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%)
Alameda,College Degree,Received a Bachelor degree or higher,506,1,70.38 %,33.33 %
Alameda,College Degree,Received an Associate Degree,213,2,29.62 %,66.67 %
Allan Hancock,College Degree,Received a Bachelor degree or higher,408,155,52.58 %,73.11 %
Allan Hancock,College Degree,Received an Associate Degree,368,57,47.42 %,26.89 %
American River,College Degree,Received a Bachelor degree or higher,"2,186",0,66.26 %,0.00 %
American River,College Degree,Received an Associate Degree,"1,113",0,33.74 %,0.00 %
Antelope Valley,College Degree,Received a Bachelor degree or higher,321,26,44.90 %,52.00 %
Antelope Valley,College Degree,Received an Associate Degree,394,24,55.10 %,48.00 %
Bakersfield,College Degree,Received a Bachelor degree or higher,567,109,40.10 %,68.55 %
Bakersfield,College Degree,Received an Associate Degree,847,50,59.90 %,31.45 %
Barstow,College Degree,Received a Bachelor degree or higher,158,44,48.32 %,57.89 %
Barstow,College Degree,Received an Associate Degree,169,32,51.68 %,42.11 %
Berkeley City,College Degree,Received a Bachelor degree or higher,689,15,79.65 %,100.00 %
Berkeley City,College Degree,Received an Associate Degree,176,0,20.35 %,0.00 %
Butte,College Degree,Received a Bachelor degree or higher,55,12,28.65 %,63.16 %
Butte,College Degree,Received an Associate Degree,137,7,71.35 %,36.84 %
Cabrillo,College Degree,Received a Bachelor degree or higher,948,189,58.85 %,79.41 %
Cabrillo,College Degree,Received an Associate Degree,663,49,41.15 %,20.59 %
CalBright,College Degree,Received a Bachelor degree or higher,0,722,0.00 %,77.80 %
CalBright,College Degree,Received an Associate Degree,0,206,0.00 %,22.20 %
Canada,College Degree,Received a Bachelor degree or higher,702,0,80.32 %,0.00 %
Canada,College Degree,Received an Associate Degree,172,0,19.68 %,0.00 %
Canyons,College Degree,Received a Bachelor degree or higher,"2,239",284,65.93 %,77.17 %
Canyons,College Degree,Received an Associate Degree,"1,157",84,34.07 %,22.83 %
Cerritos,College Degree,Received a Bachelor degree or higher,936,29,58.50 %,76.32 %
